Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGĂN HẠN,43763477,Trieu VND
Tiền và các khoản tương đương tiền,10124515,Trieu VND
Các khoản tương đương tiền,6833961,Trieu VND
Đầu tư tài chính ngắn hạn,6794791,Trieu VND
Chứng khoán kinh doanh,4183054,Trieu VND
Đầu tư nắm giữ đến ngày đáo hạn,2611737,Trieu VND
Các khoản phải thu ngắn hạn,11985015,Trieu VND
Phải thu khách hàng,2309810,Trieu VND
Trả trước cho người bán,725077,Trieu VND
Phải thu về cho vay ngắn hạn,81150,Trieu VND
Phải thu ngắn hạn khác,8898758,Trieu VND
Dự phòng phải thu khó đòi,-34943,Trieu VND
Tài sản thiếu chờ xử lý,5163,Trieu VND
Hàng tồn kho,13174868,Trieu VND
Hàng tồn kho,13496602,Trieu VND
Dự phòng giảm giá hàng tồn kho,-321734,Trieu VND
Tài sản ngắn hạn khác,1684288,Trieu VND
Chi phí trả trước ngắn hạn,327933,Trieu VND
Thuế giá trị gia tăng được khấu trừ,1208789,Trieu VND
Nhà nước,147566,Trieu VND
