Chi_tieu,Gia_tri,Don_vi
Cộng ty Cổ phầnVật tư và Xây dựng Hà Nội Phải thu về cho vay ngắn hạn từ các bên liên quan (Thuyết minh số 30) (*),4000000000,VND
Cộng ty Cổ phầnVật tư và Xây dựng Hà Nội Phải thu về cho vay ngắn hạn từ các bên liên quan (Thuyết minh số 30) (*),1688079346054,VND
TỔNG CỘNG,1692079346054,VND
Phải thu về cho vay dài hạn từ các bên liên quan (Thuyết minh số 30) (*),608125000000,VND
TỔNG CỘNG,608125000000,VND
Khế ước cuối cùng thanh toán ngày 28 tháng 12 năm 2021. Lãi trả cùng với gốc khi đáo hạn.,1163100000000,VND
Đáo hạn ngày 25 tháng 11 năm 2021. Lãi trả cùng với gốc khi đáo hạn.,488104346054,VND
Đáo hạn ngày 31 tháng 12 năm 2021. Lãi trả hàng quỹ.,36875000000,VND
TỔNG CỘNG,1688079346054,VND
Gốc vay cuối cùng thanh toán ngày 31 tháng 12 năm 2029. Lãi trả hàng quỹ.,608125000000,VND
TỔNG CỘNG,608125000000,VND
