Chi_tieu,Gia_tri,Don_vi
Tiền và các khoản tương đương tiền,14223421508261,Co phieu
Các khoản đầu tư tài chính ngắn hạn,2505007709502,Co phieu
Các khoản phải thu ngắn hạn,7462114111441,Co phieu
Hàng tồn kho,12867551209134,Co phieu
Tài sản ngắn hạn khác,3468276192624,Co phieu
Các khoản phải thu dài hạn,88684537328,Co phieu
Tài sản cố định,15270763892934,Co phieu
Bất động sản đầu tư,165266207789,Co phieu
Tài sản dở dang dài hạn,780123324785,Co phieu
Các khoản đầu tư tài chính dài hạn,2883912021826,Co phieu
Tài sản dài hạn khác,2053940376935,Co phieu
Tổng tài sản,61769061092559,Co phieu
Nợ ngắn hạn,35757792050085,Co phieu
Nợ dài hạn,2627283877522,Co phieu
Tổng nợ phải trả,38385075927607,Co phieu
Chi tiêu vốn,2525783059208,Co phieu
Khẩu hao tài sản cố định hữu hình,1933387372635,Co phieu
Khẩu hao tài sản cố định vô hình,103234815676,Co phieu
Khẩu hao bất động sản đầu tư,8856386708,Co phieu
