Chi_tieu,Gia_tri,Don_vi
"Hồ sơ đã khởi kiện, chuyển Tòa án",522778659676,VND
"+ Hồ sơ tín dụng khởi kiện, đã có bản án, phương án xử lý, thỏa thuận trả nợ theo cam kết",2000000000,VND
+ Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,473512284877,VND
+ Hồ sơ tín dụng đã có bản án nhưng chưa thi hành án,12334454598,VND
+ Hồ sơ tín dụng Tòa án đã định chi khởi kiện do hết hiệu lực khởi kiện,34931920201,VND
Hồ sơ tại cơ quan thi hành án,216594016346,VND
+ Hồ sơ trong giai đoạn phát mãi tài sản để thi hành án,206371681976,VND
+ Hồ sơ tại cơ quan thi hành án nhưng không có tài thế chấp để phát mãi,669136214,VND
+ Hồ sơ tín dụng tại cơ quan thi hành án đã có quyết định đình chỉ thi hành án,19458817,VND
+ Hồ sơ tín dụng đã phát mãi hết tài sản,9533739339,VND
Hồ sơ chưa khởi kiện,1340000000,VND
