Chi_tieu,Gia_tri,Don_vi
Bán nguyên vật liệu,637084132370,VND
Mua hàng hóa,1791358486880,VND
Thu nhập từ cổ tức,21665000000,VND
Giao dịch khác,781721436,VND
Bán nguyên vật liệu,564870316580,VND
Mua hàng hóa,1522758305210,VND
Giao dịch khác,312036170,VND
Bán nguyên vật liệu,548057777287,VND
Mua hàng hóa,1477731795010,VND
Thu nhập từ cổ tức,10582500000,VND
Giao dịch khác,219639599,VND
Bán nguyên vật liệu,526643316905,VND
Doanh thu khác,1554115788,VND
Mua hàng hóa,1377438846860,VND
Lợi nhuận được chia,44116807577,VND
Giao dịch khác,374667640,VND
Bán nguyên vật liệu,513926071455,VND
Mua hàng hóa,1314044465510,VND
Giao dịch khác,363534702,VND
Bán nguyên vật liệu,510762239063,VND
Mua hàng hóa,1230900374040,VND
Giao dịch khác,166904088,VND
Bán nguyên vật liệu,368888203078,VND
Mua hàng hóa,1107580948980,VND
Thu nhập từ cổ tức,9380000000,VND
Giao dịch khác,1498016222,VND
Bán nguyên vật liệu,223561585333,VND
Doanh thu khác,377505600,VND
Mua hàng hóa,586597761050,VND
Thu nhập từ cổ tức,768525000,VND
Giao dịch khác,100384797,VND
Bán nguyên vật liệu,154166764952,VND
Mua hàng hóa,487372298180,VND
Thu nhập từ cổ tức,4022900000,VND
Giao dịch khác,83225556,VND
Bán nguyên vật liệu,59105350990,VND
Mua hàng hóa,325498873130,VND
Thu nhập từ cổ tức,62585250000,VND
Giao dịch khác,302310060,VND
Doanh thu khác,1926286572,VND
Mua hàng hóa,4783385700,VND
Mua vật liệu bao bì,342588780156,VND
Hỗ trợ chi phí bán hàng,6401851170,VND
Chi phí vật phẩm quảng cáo,75493167999,VND
Giao dịch khác,2896855667,VND
Doanh thu khác,5155811877,VND
Mua hàng hóa,4343740,VND
Hỗ trợ chi phí bán hàng,433722011067,VND
Chi phí vật phẩm quảng cáo,1433614140,VND
Lợi nhuận được chia,174449670619,VND
Giao dịch khác,65875778,VND
Doanh thu khác,3356481838,VND
Mua hàng hóa,689151060,VND
Hỗ trợ chi phí bán hàng,199790506510,VND
Chi phí vật phẩm quảng cáo,9948729250,VND
Thu nhập từ cổ tức,91085232174,VND
Giao dịch khác,1912437419,VND
Doanh thu khác,3054102924,VND
Hỗ trợ chi phí bán hàng,124286242238,VND
Chi phí vật phẩm quảng cáo,6991805568,VND
Thu nhập từ cổ tức,44825260584,VND
Giao dịch khác,4201579922,VND
Doanh thu khác,2844231600,VND
Mua hàng hóa,2516440,VND
Hỗ trợ chi phí bán hàng,132886415684,VND
Chi phí vật phẩm quảng cáo,5672558160,VND
Thu nhập từ cổ tức,40426320051,VND
Giao dịch khác,1354253070,VND
Doanh thu khác,2798949684,VND
Mua hàng hóa,419554480,VND
Hỗ trợ chi phí bán hàng,247143052787,VND
Chi phí vật phẩm quảng cáo,6994559604,VND
Thu nhập từ cổ tức,107922835800,VND
Giao dịch khác,6944886054,VND
Doanh thu khác,2673389892,VND
Hỗ trợ chi phí bán hàng,169791278478,VND
Chi phí vật phẩm quảng cáo,4528864734,VND
Thu nhập từ cổ tức,28792800000,VND
Giao dịch khác,1369457580,VND
Doanh thu khác,2652740964,VND
Hỗ trợ chi phí bán hàng,86481977604,VND
Chi phí vật phẩm quảng cáo,5718526006,VND
Thu nhập từ cổ tức,11991079012,VND
Giao dịch khác,1797776472,VND
Doanh thu khác,2343195024,VND
Mua hàng hóa,2516440,VND
Hỗ trợ chi phí bán hàng,83497104777,VND
Chi phí vật phẩm quảng cáo,3726955388,VND
Giao dịch khác,1435379031,VND
Doanh thu khác,2251688226,VND
Mua hàng hóa,5825640,VND
Hỗ trợ chi phí bán hàng,140876185313,VND
Chi phí vật phẩm quảng cáo,7088442004,VND
Thu nhập từ cổ tức,51936895104,VND
Giao dịch khác,3667512082,VND
Doanh thu khác,2231432031,VND
Mua hàng hoá,13594870,VND
Hỗ trợ chi phí bán hàng,139973986514,VND
Chi phí vật phẩm quảng cáo,4947421840,VND
Thu nhập từ cổ tức,60566763100,VND
Giao dịch khác,1525370058,VND
Doanh thu khác,143393755,VND
Mua dịch vụ bào trì,39021840704,VND
Mua công cụ và dụng cụ,10489635141,VND
Lợi nhuận được chia,6000725577,VND
Doanh thu khác,20000000,VND
Mua hàng hóa,993096429,VND
Mua dịch vụ,380218894,VND
Cho vay,25551553817,VND
Thu nhập từ tiền lãi,26424107506,VND
Doanh thu khác,59000000,VND
Mua vật liệu bao bì,229529271770,VND
Mua hàng hóa,515200000,VND
Bán nguyên vật liệu,371116351535,VND
Mua hàng hóa,960970555360,VND
Mua vật liệu bao bì,4242625774,VND
Giao dịch khác,107616516,VND
Bán nguyên vật liệu,256834395484,VND
Mua hàng hóa,638271274650,VND
Giao dịch khác,257248618,VND
Bán nguyên vật liệu,227174498392,VND
Mua hàng hóa,739925353710,VND
Mua nguyên vật liệu,10121292089,VND
Thu nhập từ cổ tức,38469452000,VND
Giao dịch khác,231904170,VND
Bán nguyên vật liệu,213368799947,VND
Mua hàng hóa,590180080260,VND
Thu nhập từ cổ tức,1500000000,VND
Giao dịch khác,93145533,VND
Bán nguyên vật liệu,192278606439,VND
Mua hàng hóa,486395202400,VND
Giao dịch khác,133046871,VND
Bán nguyên vật liệu,160803615996,VND
Mua hàng hóa,468316943360,VND
Thu nhập từ cổ tức,3378750000,VND
Giao dịch khác,149957182,VND
Bán nguyên vật liệu,38736213853,VND
Mua hàng hóa,223469449270,VND
Doanh thu khác,6886000,VND
