Chi_tieu,Gia_tri,Don_vi
Ngày 31/12/2019,78865105666950,VND
Thay đổi trong năm,19082577943362,VND
Ngày 31/12/2020,97947683610312,VND
Ngày 31/12/2019,7907488494621,VND
Thay đổi trong năm,-584810389882,VND
Ngày 31/12/2020,7322678104739,VND
Ngày 31/12/2019,86772594161571,VND
Thay đổi trong năm,18497767553480,VND
Ngày 31/12/2020,105270361715051,VND
Dư phòng phí chưa được hưởng,3386617448071,VND
Dư phòng bồi thường,1479463506465,VND
Dư phòng dao động lớn,42564972,VND
Tổng cộng,4866113519508,VND
Dư phòng phí chưa được hưởng,3709979816578,VND
Dư phòng bồi thường,1322609364737,VND
Dư phòng dao động lớn,16207748985,VND
Dư phòng đảm bảo cản dôi,27185006695,VND
Tổng cộng,5075981936995,VND
