Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,812205,Trieu dong
Tiền gửi tại NHNN Việt Nam,870892,Trieu dong
Tiền gửi tại và cho vay các TCTD khác,18260454,Trieu dong
Cho vay khách hàng – gộp,13787340,Trieu dong
Tài sản Có khác - gộp,4156223,Trieu dong
Tổng tài sản,37887114,Trieu dong
Tiền gửi và vay các TCTD khác,11238683,Trieu dong
Tiền gửi của khách hàng,3463453,Trieu dong
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,18262142,Trieu dong
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",3037163,Trieu dong
Phát hành giấy tờ có giá,3694400,Trieu dong
Các khoản nợ khác,109699,Trieu dong
Tổng nợ phải trả,39805540,Trieu dong
Trạng thái tiền tệ nội bằng,-1918426,Trieu dong
Trạng thái tiền tệ ngoại bằng,1062079,Trieu dong
"Trạng thái tiền tệ nội, ngoại bằng",-856347,Trieu dong
