Chi_tieu,Gia_tri,Don_vi
Công ty mẹ,103526067378,VND
Công ty Cổ phần Viglacera Thăng Long,4278897158,VND
Công ty Cổ phần Bao bì và má phanh Viglacera,309185532,VND
Công ty Cổ phần Viglacera Đông Anh,98150843,VND
Công ty Cổ phần Tư vấn Viglacera,75825776,VND
Công ty Cổ phần Việt Trì Viglacera,6842186159,VND
Công ty Cổ phần Viglacera Hữu Hưng,5630527,VND
Công ty Cổ phần Viglacera Tiên Sơn,11140332729,VND
Công ty Cổ phần Thương mại Viglacera,1730163136,VND
Công ty Cổ phần Viglacera Vân Hải,1549262598,VND
Công ty Cổ phần Khoáng sản Viglacera,1284924932,VND
Công ty Cổ phần Sử Viglacera Thanh Trì,6237052565,VND
Công ty Cổ phần Viglacera Hạ Long,36048902636,VND
Công ty Cổ phần Viglacera Hà Nội,2767593014,VND
Công ty Cổ phần Vinafacade,2385089,VND
Công ty Cổ phần Kinh doanh Gạch Óp lát Viglacera,476144902,VND
Công ty TNHH MTV Lắp dựng Kính Viglacera,342803411,VND
