Chi_tieu,Gia_tri,Don_vi
"Chi nộp thuế và các khoản phí, lệ phí",72632,Trieu dong
Chi phí cho nhân viên,2672702,Trieu dong
Chi lương và phụ cấp,2416409,Trieu dong
Các khoản chi đóng góp theo lương,206865,Trieu dong
Chi trợ cấp,29622,Trieu dong
Chi trang phục,19806,Trieu dong
Chi về tài sản,1086620,Trieu dong
Khấu hao và hao mòn tài sản cố định(Thuyết minh số 15.1 và 15.2),301178,Trieu dong
Chi phí hoạt động khác,672896,Trieu dong
Trong đó:Công tác phí,30279,Trieu dong
Chi nộp phí bảo hiểm tiền gửi của khách hàng,232550,Trieu dong
Chi phí dự phòng giảm giá đầu tư dài hạn(Thuyết minh số 14.3),186709,Trieu dong
Chi phí dự phòng rủi ro tài sản có khác,8589,Trieu dong
