Chi_tieu,Gia_tri,Don_vi
Số dư tại ngày 1/1/2020,20366628624318,VND
Lợi nhuận thuần trong năm,1092424050151,VND
"Phân bổ vào quỹ khen thưởng, phúc lợi",-37299276250,VND
Bán cổ phiếu quỹ (Thuyết minh 23),1342822007427,VND
Cổ tức (Thuyết minh 24),-3591708815000,VND
Số dư tại ngày 1/1/2021,19172866590646,VND
Lợi nhuận thuần trong năm,1637269716135,VND
"Phân bổ vào quỹ khen thưởng, phúc lợi",-24578366508,VND
Bán cổ phiếu quỹ (Thuyết minh 23),2888473190625,VND
Cổ tức (Thuyết minh 24),-1522575882000,VND
Số dư tại ngày 31/12/2021,22151455248898,VND
