Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quỹ",1855473,Trieu dong
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,10828571,Trieu dong
Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,16571491,Trieu dong
Chứng khoán kinh doanh – gộp,4240742,Trieu dong
Cho vay khách hàng – gộp,221961996,Trieu dong
Chứng khoán đầu tư – gộp,52982090,Trieu dong
"Gộp vốn, đầu tư dài hạn – gộp",227602,Trieu dong
Tài sản cố định,1963096,Trieu dong
Tài sản Có khác – gộp,17383266,Trieu dong
Tổng tài sản,328014327,Trieu dong
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,3781343,Trieu dong
"Tiền gửi và vay các TCTC, TCTD khác",54231451,Trieu dong
Tiền gửi của khách hàng,170850871,Trieu dong
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,18571,Trieu dong
"Vốn tài trợ, ủy thác đầu tư cho vay tổ chức tín dụng chịu rủi ro",329649,Trieu dong
Phát hành giấy tờ có giá,48658036,Trieu dong
Các khoản nợ khác,10671129,Trieu dong
Tổng nợ phải trả,288541050,Trieu dong
Mức chênh thanh khoản ròng,39473277,Trieu dong
