Chi_tieu,Gia_tri,Don_vi
"Tiền smặt, vàng bạc và đá quý",7545270,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước,12848045,Trieu VND
Tiền gửi và cho vay các TCTD khác,50332971,Trieu VND
Cho vay khách hàng – thuần,475169108,Trieu VND
Chứng khoán đầu tư – thuần,74635845,Trieu VND
"Góp vốn, đầu tư dài hạn – thuần",82642,Trieu VND
Tải sản cố định,7269440,Trieu VND
Tải sản Có khác – thuần,46506339,Trieu VND
TỔNG TÀI SẢN,674389660,Trieu VND
Các khoản nợ NHNNVN,19328,Trieu VND
Tiền gửi và vay các TCTD khác,37950111,Trieu VND
Tiền gửi của khách hàng,510744394,Trieu VND
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,91459,Trieu VND
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",323147,Trieu VND
Phát hành giấy tờ có giá,28992491,Trieu VND
Các khoản nợ khác,50534866,Trieu VND
TỔNG NỘ PHẢI TRẢ,628655796,Trieu VND
