Chi_tieu,Gia_tri,Don_vi
Tổng lợi nhuận kế toán trước thuế TNDN,-10531827479,
Các khoản điều chỉnh tăng,23105456479,
- Chi phí không được trìe [*],23105456479,
Các khoản điều chỉnh giảm,-13299410984,
- Chuyển lỗ từ các năm trước,-13299410984,
Thu nhập chịu thuế TNDN,-725781984,
Thuế TNDN phải nộp đầu năm,-1086218583,
Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh chính,-1086218583,
Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,-12782359877,
Thu nhập chịu thuế TNDN,-12782359877,
Tổng thuế TNDN phải nộp cuối năm,-1086218583,
