Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,26336984183123,VND
2. Các khoản giảm trừ doanh thu,-187939347844,VND
3. Doanh thu thuần từ bán hàng và cung cấp dịch vụ,26149044835279,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,-21730791206018,VND
5. Lợi nhuận gộp từ bán hàng và cung cấp dịch vụ,4418253629261,VND
6. Doanh thu hoạt động tài chính,53912840001,VND
7. Chi phí tài chính,-589176690666,VND
Trong đó: Chi phí lãi vay,-482275637847,VND
8. Chi phí bán hàng,-1512517323076,VND
9. Chi phí quản lý doanh nghiệp,-801479758048,VND
10. Lợi nhuận thuần từ hoạt động kinh doanh,1568992697472,VND
11. Thu nhập khác,78166099473,VND
12. Chi phí khác,-4519323205,VND
13. Lợi nhuận (lỗ) khác,73646776268,VND
14. Tổng lợi nhuận kế toán trước thuế,1642639473740,VND
15. Chi phí thuế TNDN hiện hành,-281166867134,VND
16. (Chi phí) thu nhập thuế TNDN hoãn lại,-29823152049,VND
17. Lợi nhuận sau thuế TNDN,1331649454557,VND
18. Lợi nhuận sau thuế của công ty mẹ,1331663912171,VND
19. Lỗ sau thuế của cổ đông không kiểm soát,-14457614,VND
