Chi_tieu,Gia_tri,Don_vi
A. TÀI SẢN NGÂN HẠN,7453359435,Nghin VND
I. Tiền,238067919,Nghin VND
1. Tiền,238067919,Nghin VND
II. Các khoản phải thu ngắn hạn,6926123473,Nghin VND
1. Phải thu ngắn hạn của khách hàng,525822602,Nghin VND
2. Trả trước cho người bán ngắn hạn,162297212,Nghin VND
3. Phải thu về cho vay ngắn hạn,4652017152,Nghin VND
4. Phải thu ngắn hạn khác,1586464025,Nghin VND
5. Dự phòng phải thu ngắn hạn khó đòi,-477518,Nghin VND
III. Hàng tồn kho,206104818,Nghin VND
1. Hàng tồn kho,206104818,Nghin VND
IV. Tài sản ngắn hạn khác,83063225,Nghin VND
1. Chi phí trả trước ngắn hạn,383900,Nghin VND
2. Thuế GTGT được khấu trừ,483337,Nghin VND
3. Tài sản ngắn hạn khác,82195988,Nghin VND
B. TÀI SẢN DÀI HẠN,20235507840,Nghin VND
I. Các khoản phải thu dài hạn,8373822112,Nghin VND
1. Phải thu về cho vay dài hạn,8066041332,Nghin VND
2. Phải thu dài hạn khác,307780780,Nghin VND
II. Tài sản cố định,247646503,Nghin VND
1. Tài sản cố định hữu hình,233660774,Nghin VND
Nguyên giá,321148576,Nghin VND
Giá trị hao mòn lũy kế,-87487802,Nghin VND
2. Tài sản cố định vô hình,13985729,Nghin VND
Nguyên giá,20371973,Nghin VND
Giá trị hao mòn lũy kế,-6386244,Nghin VND
III. Bất động sản đầu tư,78228682,Nghin VND
1. Nguyên giá,79478780,Nghin VND
2. Giá trị hao mòn lũy kế,-1250098,Nghin VND
IV. Tài sản dở dang dài hạn,47619968,Nghin VND
1. Chi phí xây dựng cơ bản dở dang,47619968,Nghin VND
V. Đầu tư tài chính dài hạn,11474502144,Nghin VND
1. Đầu tư vào công ty con,11437505856,Nghin VND
2. Đầu tư vào công ty liên kết,5000000,Nghin VND
3. Đầu tư góp vốn vào đơn vị khác,31996288,Nghin VND
VI. Tài sản dài hạn khác,13688431,Nghin VND
1. Chi phí trả trước dài hạn,13688431,Nghin VND
TỔNG CỘNG TÀI SẢN,27688867275,Nghin VND
C. NỘ PHẢI TRẢ,15409713628,Nghin VND
I. Nợ ngắn hạn,6902977590,Nghin VND
1. Phải trả người bán ngắn hạn,146484218,Nghin VND
2. Người mua trả tiền trước ngắn hạn,1354460319,Nghin VND
3. Thuế và các khoản phải nộp Nhà nước,115518401,Nghin VND
4. Phải trả người lao động,9279000,Nghin VND
5. Chi phí phải trả ngắn hạn,303730070,Nghin VND
6. Phải trả ngắn hạn khác,280092733,Nghin VND
7. Vay ngắn hạn,4689130668,Nghin VND
"8. Quỹ khen thưởng, phúc lợi",4282181,Nghin VND
II. Nợ dài hạn,8506736038,Nghin VND
2. Vay dài hạn,8494994375,Nghin VND
3. Thuế thu nhập hoãn lại phải trả,5635824,Nghin VND
4. Dự phòng phải trả dài hạn,6105839,Nghin VND
D. VỐN CHỦ SỞ HỮU,12279153647,Nghin VND
I. Vốn chủ sở hữu,12279153647,Nghin VND
1. Vốn cổ phần,7899679470,Nghin VND
- Cổ phiếu phổ thông có quyền biểu quyết,7899679470,Nghin VND
2. Thắng dư vốn cổ phần,3539078784,Nghin VND
3. Cổ phiếu quỹ,-686640,Nghin VND
4. Quỹ đầu tư phát triển,279895303,Nghin VND
5. Lợi nhuận sau thuế chưa phân phối,561186730,Nghin VND
- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,27558264,Nghin VND
- Lợi nhuận sau thuế chưa phân phối năm nay,533628466,Nghin VND
TỔNG CỘNG NGUỒN VỐN,27688867275,Nghin VND
