Chi_tieu,Gia_tri,Don_vi
Tài sản thuế thu nhập hoãn lạiSố đầu nămThuế TNDN hoãn lại phát sinh do trích lập dự phòng giảm giá chứng khoán chưa niêm yết không được khấu trừ thuế trong nămThuế TNDN hoãn lại khácThuế TNDN hoãn lại phát sinh do (hoàn nhập)/trích lập dự phòng suy giảm giá trị khoản cho vayThuế TNDN hoãn lại phát sinh do khoản chi phí tạm thời tính thuế,14950769533,
Tài sản thuế thu nhập hoãn lạiSố đầu nămThuế TNDN hoãn lại phát sinh do trích lập dự phòng giảm giá chứng khoán chưa niêm yết không được khấu trừ thuế trong nămThuế TNDN hoãn lại khácThuế TNDN hoãn lại phát sinh do (hoàn nhập)/trích lập dự phòng suy giảm giá trị khoản cho vayThuế TNDN hoãn lại phát sinh do khoản chi phí tạm thời tính thuế,6511347657,
Tài sản thuế thu nhập hoãn lạiSố đầu nămThuế TNDN hoãn lại phát sinh do trích lập dự phòng giảm giá chứng khoán chưa niêm yết không được khấu trừ thuế trong nămThuế TNDN hoãn lại khácThuế TNDN hoãn lại phát sinh do (hoàn nhập)/trích lập dự phòng suy giảm giá trị khoản cho vayThuế TNDN hoãn lại phát sinh do khoản chi phí tạm thời tính thuế,-124151978,
Tài sản thuế thu nhập hoãn lạiSố đầu nămThuế TNDN hoãn lại phát sinh do trích lập dự phòng giảm giá chứng khoán chưa niêm yết không được khấu trừ thuế trong nămThuế TNDN hoãn lại khácThuế TNDN hoãn lại phát sinh do (hoàn nhập)/trích lập dự phòng suy giảm giá trị khoản cho vayThuế TNDN hoãn lại phát sinh do khoản chi phí tạm thời tính thuế,1346310041,
Số cuối nămThuế TNDN hoãn lại phải trảSố đầu nămThuế TNDN hoãn lại phát sinh từ lợi nhuận của công ty con tạm thời không chịu thuế TNDNThuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPLThuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFSThuế TNDN hoãn lại phát sinh do đánh giá (tăng)/giảm phải trả chứng quyền đang lưu hànhThuế TNDN hoãn lại khác,22684275253,
Số cuối nămThuế TNDN hoãn lại phải trảSố đầu nămThuế TNDN hoãn lại phát sinh từ lợi nhuận của công ty con tạm thời không chịu thuế TNDNThuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPLThuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFSThuế TNDN hoãn lại phát sinh do đánh giá (tăng)/giảm phải trả chứng quyền đang lưu hànhThuế TNDN hoãn lại khác,41001835957,
Số cuối nămThuế TNDN hoãn lại phải trảSố đầu nămThuế TNDN hoãn lại phát sinh từ lợi nhuận của công ty con tạm thời không chịu thuế TNDNThuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPLThuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFSThuế TNDN hoãn lại phát sinh do đánh giá (tăng)/giảm phải trả chứng quyền đang lưu hànhThuế TNDN hoãn lại khác,-2003546591,
Số cuối nămThuế TNDN hoãn lại phải trảSố đầu nămThuế TNDN hoãn lại phát sinh từ lợi nhuận của công ty con tạm thời không chịu thuế TNDNThuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPLThuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFSThuế TNDN hoãn lại phát sinh do đánh giá (tăng)/giảm phải trả chứng quyền đang lưu hànhThuế TNDN hoãn lại khác,-10619082151,
Số cuối nămThuế TNDN hoãn lại phải trảSố đầu nămThuế TNDN hoãn lại phát sinh từ lợi nhuận của công ty con tạm thời không chịu thuế TNDNThuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPLThuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFSThuế TNDN hoãn lại phát sinh do đánh giá (tăng)/giảm phải trả chứng quyền đang lưu hànhThuế TNDN hoãn lại khác,-623338184,
Số cuối nămThuế TNDN hoãn lại phải trảSố đầu nămThuế TNDN hoãn lại phát sinh từ lợi nhuận của công ty con tạm thời không chịu thuế TNDNThuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPLThuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFSThuế TNDN hoãn lại phát sinh do đánh giá (tăng)/giảm phải trả chứng quyền đang lưu hànhThuế TNDN hoãn lại khác,-33064213325,
Số cuối nămThuế TNDN hoãn lại phải trảSố đầu nămThuế TNDN hoãn lại phát sinh từ lợi nhuận của công ty con tạm thời không chịu thuế TNDNThuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPLThuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFSThuế TNDN hoãn lại phát sinh do đánh giá (tăng)/giảm phải trả chứng quyền đang lưu hànhThuế TNDN hoãn lại khác,6511347657,
Số cuối năm,1203003363,
