Chi_tieu,Gia_tri,Don_vi
Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),29212412861979,VND
Tiền và các khoản tương đương tiền,3540229359510,VND
Các khoản tương đương tiền,2050000000000,VND
Đầu tư tài chính ngắn hạn,9135000000000,VND
Đầu tư nắm giữ đến ngày đáo hạn,9135000000000,VND
Các khoản phải thu ngắn hạn,4626930801113,VND
Phải thu ngắn hạn của khách hàng,4430798651675,VND
Trả trước cho người bán ngắn hạn,54959880752,VND
Phải thu ngắn hạn khác,267749671703,VND
Dự phòng các khoản phải thu ngắn hạn khó đòi,-126623718626,VND
Tài sản thiếu chờ xử lý,46315609,VND
Hàng tồn kho,9825383740246,VND
Hàng tồn kho,10036999982218,VND
Dự phòng giảm giá hàng tồn kho,-211616241972,VND
Tài sản ngắn hạn khác,2084868961110,VND
Chi phí trả trước ngắn hạn,88723079083,VND
Thuế giá trị gia tăng được khấu trừ,705256640930,VND
Thuế và các khoản phải thu Nhà nước,1290889241097,VND
Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),13859822071259,VND
Các khoản phải thu dài hạn,358020000,VND
Phải thu dài hạn khác,358020000,VND
Tài sản cố định,327504415091,VND
Tài sản cố định hữu hình,87814807989,VND
Nguyên giá,361660437338,VND
Giá trị hao mòn lũy kế,-273845629349,VND
Tài sản cố định vô hình,239689607102,VND
Nguyên giá,570044872060,VND
Giá trị hao mòn lũy kế,-330355264958,VND
Tài sản dở dang dài hạn,24746376886,VND
Chi phí xây dựng cơ bản dở dang,24746376886,VND
Đầu tư tài chính dài hạn,13471624849618,VND
Đầu tư vào công ty con,9853179500020,VND
"Đầu tư vào các công ty liên doanh, liên kết",1630125518525,VND
Đầu tư góp vốn vào đơn vị khác,58580915000,VND
Dự phòng đầu tư tài chính dài hạn,-70261083927,VND
Đầu tư nằm giữ đến ngày đáo hạn,2000000000000,VND
Tài sản dài hạn khác,35588409664,VND
Chi phí trả trước dài hạn,35588409664,VND
TỔNG CỘNG TÀI SẢN(270 = 100 + 200),43072234933238,VND
NỘ PHẢI TRẢ (300 = 310),20920779684340,VND
Nợ ngắn hạn,20920779684340,VND
Phải trả người bán ngắn hạn,11521454181601,VND
Người mua trả tiền trước ngắn hạn,168550901131,VND
Nhà nước,63522799459,VND
Phải trả người lao động,17105807644,VND
Chỉ phí phải trả ngắn hạn,47914040998,VND
Phải trả ngắn hạn khác,15384666687,VND
Vay ngắn hạn,9263704463871,VND
"Quỹ khen thưởng, phúc lợi",7866593153,VND
Quỹ bình ổn giá xăng dầu,-184723770204,VND
VỐN CHỦ SỞ HỮU (400 = 410),22151455248898,VND
Vốn chủ sở hữu,22151455248898,VND
Vốn cổ phần,12938780810000,VND
- Cổ phiếu phổ thôngcó quyền biểu quyết,12938780810000,VND
Thặng dư vốn cổ phần,7359059317417,VND
Cổ phiếu quỹ,-232858460000,VND
Quỹ đầu tư phát triển,384708394204,VND
Lợi nhuận sau thuế chưa phân phối,1701765187277,VND
- LNST chưa phân phối đến cuốinăm trước,64495471142,VND
- LNST năm nay,1637269716135,VND
TỔNG CỘNG NGUỒN VỐN(440 = 300 + 400),43072234933238,VND
