Chi_tieu,Gia_tri,Don_vi
Các khoản phải thu ngắn hạn của khách hàng,1067788689,Nghin VND
Hàng tồn kho,251734900,Nghin VND
Tài sản ngắn hạn khác,4115080,Nghin VND
Tài sản cố định hữu hình,127142696,Nghin VND
Chi phí xây dựng cơ bản dở dang(vườn cây cao su và cây ăn quả),988522788,Nghin VND
Chi phí trả trước dài hạn,8107961,Nghin VND
Các khoản phải thu dài hạn,764670000,Nghin VND
Vay ngắn hạn,-192510774,Nghin VND
Các khoản phải trả,-1027882185,Nghin VND
Vay dài hạn,-1531400617,Nghin VND
Tổng tài sản thuần,610445482,Nghin VND
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 17),2667823198,Nghin VND
Lợi ích cố đông không kiểm soát (Thuyết minh số 26),-531560,Nghin VND
Tổng giá phí hợp nhất kinh doanh,3277737120,Nghin VND
