Chi_tieu,Gia_tri,Don_vi
Thu nhập khác,39268221096,
Lợi thế thương mại phát sinhtrong quá trình đầu tư góp vốnvào các đơn vị khác,24426586800,
Chuyển nhượng dự án Nhà máyBia Sài Gòn – Kiên Giang,9688882754,
Bán phê liệu,3061529739,
Tiền bồi thường hợp đồng,806962090,
"Cho thuê máy móc, thiết bị",356600000,
Lãi do thanh lý tài sản cố định,33427270,
Các khoản khác,894232443,
Chi phí khác,-13565615120,
Chi phí dự án Nhà máy Bia Sài Gòn –Kiên Giang,-9688882754,
Chi phí khấu hao,-1992021514,
Chi phí phạt,-402159374,
Các khoản khác,-1482551478,
LỢI NHUẬN KHÁC,25702605976,
