Chi_tieu,Gia_tri,Don_vi
Chi phí mối giới và tư vấn bán hàng liên quan đến các căn hộ chưa bàn giao,129436282103,VND
Chi phí lãi vay trả trước cho bên liên quan (Thuyết minh số 35),23446929828,VND
Thuế thu nhập doanh nghiệp tạm nộp,13096751582,VND
Chi phí trả trước ngắn hạn khác,19407372133,VND
TỔNG CỘNG,185387335646,VND
Chi phí thuê đất trả trước,24168155803,VND
Chi phí hoa hồng môi giới,16146019041,VND
"Công cụ, dụng cụ",15508616737,VND
Chi phí trả trước dài hạn khác,19009211018,VND
TỔNG CỘNG,74832002599,VND
