Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,1249916,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước,1880377,Trieu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,28979507,Trieu VND
Tiền gửi tại các tổ chức tín dụng khác,22073644,Trieu VND
Cho vay các tổ chức tín dụng khác,6911000,Trieu VND
Dự phòng rủi ro,-5137,Trieu VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,45843,Trieu VND
Cho vay khách hàng,155132975,Trieu VND
Cho vay khách hàng,156824177,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-1691202,Trieu VND
Chứng khoán đầu tư,18846623,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,10788497,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,9439853,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-1381727,Trieu VND
"Góp vốn, đầu tư dài hạn",2580377,Trieu VND
Đầu tư vào công ty con,2371822,Trieu VND
Đầu tư dài hạn khác,214393,Trieu VND
Dự phòng giảm giá đầu tư dài hạn,-5838,Trieu VND
Tài sản cố định,3927363,Trieu VND
Tài sản cố định hữu hình,392592,Trieu VND
Nguyên giá,884084,Trieu VND
Giá trị hao mòn lũy kế,-491492,Trieu VND
Tài sản cố định vô hình,3534771,Trieu VND
Nguyên giá,3704574,Trieu VND
Giá trị hao mòn lũy kế,-169803,Trieu VND
Tài sản Có khác,20507550,Trieu VND
Các khoản phải thu,807720,Trieu VND
"Các khoản lãi, phí phải thu",7845337,Trieu VND
Tài sản Có khác,11997828,Trieu VND
Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,-143335,Trieu VND
TỔNG TÀI SẢN,233150531,Trieu VND
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,2572420,Trieu VND
Tiền gửi và vay các tổ chức tín dụng khác,32853695,Trieu VND
Tiền gửi của các tổ chức tín dụng khác,22843520,Trieu VND
Vay các tổ chức tín dụng khác,10010175,Trieu VND
Tiền gửi của khách hàng,165895650,Trieu VND
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",808887,Trieu VND
Phát hành giấy tờ có giá,13767675,Trieu VND
Các khoản nợ khác,4129201,Trieu VND
"Các khoản lãi, phí phải trả",3176167,Trieu VND
Các khoản phải trả và công nợ khác,953034,Trieu VND
TỔNG NỘ PHẢI TRẢ,220027528,Trieu VND
Vốn và các quỹ,13123003,Trieu VND
Vốn điều lệ,11196891,Trieu VND
Thặng dư vốn cổ phần,101716,Trieu VND
Cổ phiếu quỹ,-5260,Trieu VND
Các quỹ của tổ chức tín dụng,994855,Trieu VND
Lợi nhuận chưa phân phối,834801,Trieu VND
TỔNG VỐN CHỦ SỞ HỮU,13123003,Trieu VND
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,233150531,Trieu VND
