Chi_tieu,Gia_tri,Don_vi
"Chi nộp thuế và các khoản phí, lệ phí",58645,
Chi phí cho nhân viên,2316520,
- Chi lượng và phụ cấp,1936662,
- Các khoản chỉ đóng góp theo lượng,179012,
- Chi trợ cấp,82193,
- Các khoản chi khác,118653,
Chi về tài sản,942649,
- Chi phí khấu hao tài sản cố định,287405,
- Chi thuê tài sản,469984,
- Chi về bảo dưỡng và sửa chữa tài sản,157359,
- Chi khác về tài sản,27901,
Chi cho hoạt động quản lý công vụ,720527,
- Công tác phí,22091,
"- Chi phí quảng cáo, tiếp thị, khuyến mại",118047,
"- Chi phí tiếp tân, khách tiết",71159,
"- Chi phí điện, nước",72710,
- Chi khác cho hoạt động quản lý,436520,
Chi nộp phí bảo hiểm tiền gửi của khách hàng,167245,
