Chi_tieu,Gia_tri,Don_vi
Phải thu tiền vật tư nhà thầu SEFCO,4532276360,VND
Thuế nhập khẩu thiết bị nộp hộ nhà thầu,1945463773,VND
Tiền giải phóng mặt bằng - TT phát triển quỹ đất huyện Đắk R'Lắp,1420905880,VND
Tạm ứng,1689997760,VND
CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,1010000000,VND
Phải thu tiền cổ tức Công ty cổ phần Nhiệt điện Hải Phòng,7210000000,VND
Công ty cổ phần Đầu tư và Xây dựng – VVMI,1000000000,VND
Công ty TNHH một thành viên môi trường – TKV,1250000000,VND
Thuế GTGT tạm nhận nợ với Cty TNHH Công trình Điện Cáp Nhĩ Tân,3835791547,VND
Thuế GTGT chưa kê khai khấu trừ tại NĐ Cẩm Phả,17994102923,VND
Phải thu tiền than không đủ chất lượng,5701943699,VND
Các khoản khác,5072330253,VND
