Chi_tieu,Gia_tri,Don_vi
Chi phí bán hàng,9329616403,VND
Chi phí hoa hồng môi giới,1518252122,VND
Chi phí nhân viên,3421228146,VND
"Chi phí quảng cáo, khuyến mãi",4390136135,VND
Chi phí quản lý doanh nghiệp,77766578923,VND
Chi phí nhân viên quản lý,38929410610,VND
Chi phí vật liệu quản lý,105851741,VND
Chi phí đồ dùng văn phòng,1493017083,VND
Chi phí khấu hao,864205409,VND
"Thuế, phí, lệ phí",132928920,VND
Chi phí dịch vụ mua ngoài,14523209416,VND
Chi phí quản lý doanh nghiệp khác,22008670258,VND
Hoàn nhập dự phòng phải thu khó đòi,-290714514,VND
