Chi_tieu,Gia_tri,Don_vi
Phải thu các bên liên quan,1017291376429,
Công ty Cổ phần Điện Việt Lào,1017132043971,
Công ty Cổ phần Năng Lượng Someco 1,159332458,
Phải thu các tổ chức và cá nhân khác,1984159187549,
Công ty Cổ phần Xi măng Hạ Long – vốn lưu động,975009156984,
Công ty Cổ phần Xi măng Hạ Long – cho vay lại,965461669242,
Công ty Cổ phần Thủy điện Sử Pán 2,15000000000,
Tổng công ty Xây dựng và Phát triển Hạ tầng - CTCP,26088361323,
Công ty Đầu tư Xây dựng và Phát triển năng lượng Phúc Khánh,2500000000,
Viện Kinh tế xây dựng,100000000,
