Chi_tieu,Gia_tri,Don_vi
Doanh thu từ bán hàngvà cung cấp dịch vụ,1241875535806,VND
Giá vốn hàng bánvà dịch vụ cung cấp,-1029711012706,VND
Lợi nhuận thuần trước thuế,683381126,VND
Lợi nhuận thuần sau thuế,10521879393,VND
Tài sản không phân bổ,2838760180225,VND
Tổng tài sản,2838760180225,VND
Nợ phải trả không phân bổ,2449607487598,VND
Tổng nợ phải trả,2449607487598,VND
Doanh thu từ bán hàngvà cung cấp dịch vụ,1223289757663,VND
Giá vốn hàng bánvà dịch vụ cung cấp,-1096895134278,VND
Lợi nhuận thuần trước thuế,683381126,VND
Lợi nhuận thuần sau thuế,7325917355,VND
Tài sản không phân bổ,2792446680503,VND
Tổng tài sản,2792446680503,VND
Nợ phải trả không phân bổ,2392635867269,VND
Tổng nợ phải trả,2392635867269,VND
