Chi_tieu,Gia_tri,Don_vi
A. TÀI SẢN NGÂN HẠN,65068901171873,VND
I. Tài sản tài chính,64976325568378,VND
1. Tiền và các khoản tương đương tiền,455799610357,VND
1.1. Tiền,455799610357,VND
2. Các tài sản tài chính ghi nhận thống qua lãi/lỗ (FVTPL),43732121928160,VND
3. Các khoản đầu tư nằm giữ đến ngày đáo hạn (HTM),4877808937021,VND
4. Các khoản cho vay,15134065013420,VND
5. Tài sản tài chính sẵn sàng để bán (AFS),415753839520,VND
6. Dự phòng suy giảm giá trị các tài sản tài chính và tài sản thế chấp,-32695438612,VND
7. Các khoản phải thu,584439040304,VND
7.1. Phải thu bán các tài sản tài chính,267997744808,VND
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",316441295496,VND
"7.2.1. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",316441295496,VND
8. Trả trước cho người bán,30488015683,VND
9. Phải thu các dịch vụ công ty chứng khoán cung cấp,6253094642,VND
10. Các khoản phải thu khác,4162964691,VND
11. Dự phòng suy giảm giá trị các khoản phải thu,-231871436808,VND
II. Tài sản ngắn hạn khác,92575603495,VND
1. Tạm ứng,17503586964,VND
"2. Vật tư vấn phòng, công cụ, dụng cụ",1451468687,VND
3. Chi phí trả trước ngắn hạn,61093685276,VND
"4. Cảm cổ, thế chấp, ký quỹ, ký cược ngắn hạn",133400000,VND
5. Tài sản ngắn hạn khác,12393462568,VND
B. TÀI SẢN DÀI HẠN,3450551373024,VND
I. Tài sản tài chính dài hạn,3051844459522,VND
1. Các khoản đầu tư dài hạn,3051844459522,VND
1.1. Các khoản đầu tư nằm giữ đến ngày đáo hạn,2171558577993,VND
1.2. Đầu tư vào công ty con,479000000000,VND
"1.3. Đầu tư vào công ty liên doanh, liên kết",401285881529,VND
II. Tài sản cố định,266294465737,VND
1. Tài sản cố định hữu hình,174402240035,VND
1.1. Nguyễn giá,409079508326,VND
1.2. Giá trị hao mòn lũy kế,-234677268291,VND
2. Tài sản cố định vô hình,91892225702,VND
2.1. Nguyên giá,243279842117,VND
2.2. Giá trị hao mòn lũy kế,-151387616415,VND
III. Chi phí xây dựng cơ bản dở dang,26152274558,VND
IV. Tài sản dài hạn khác,106260173207,VND
"1. Cảm cố, thế chấp, ký quỹ, ký cược dài hạn",33536794628,VND
2. Chi phí trả trước dài hạn,28843943369,VND
3. Tài sản thuế thu nhập hoãn lại,8879435210,VND
4. Tiền nộp Quỹ Hỗ trợ thanh toán,20000000000,VND
5. Tài sản dài hạn khác,15000000000,VND
TỔNG CỘNG TÀI SẢN,68519452544897,VND
C. NỘ PHẢI TRẢ,45934992919630,VND
I. Nợ phải trả ngắn hạn,45919496060281,VND
1. Vay và nợ thuê tài sân tài chính ngắn hạn,43168931078677,VND
1.1. Vay ngắn hạn,43168931078677,VND
2. Phải trả hoạt động giao dịch chứng khoán,141432129400,VND
3. Phải trả người bán ngắn hạn,856511456466,VND
4. Người mua trả tiền trước ngắn hạn,23583183500,VND
5. Thuế và các khoản phải nộp Nhà nước,347457097173,VND
6. Phải trả người lao động,97476854816,VND
7. Các khoản trích nộp phúc lợi nhân viên,771809804,VND
8. Chi phí phải trả ngắn hạn,81450728639,VND
9. Doanh thu chưa thực hiện ngắn hạn,643333336,VND
"10. Nhận ký quỹ, ký cược ngắn hạn",100000000,VND
"11. Các khoản phải trả, phải nộp ngắn hạn khác",899362612968,VND
"12. Quỹ khen thưởng, phúc lợi",301775775502,VND
II. Nợ phải trả dài hạn,15496859349,VND
1. Doanh thu chưa thực hiện dài hạn,1200000000,VND
2. Thuế thu nhập doanh nghiệp hoãn lại phải trả,14296859349,VND
D. VỐN CHỦ SỞ HỮU,22584459625267,VND
I. Vốn chủ sở hữu,22584459625267,VND
1. Vốn đầu tư của chủ sở hữu,18291394836235,VND
1.1. Vốn góp của chủ sở hữu,15011301370000,VND
a. Cổ phiếu phổ thông,15011301370000,VND
1.2. Thặng dư vốn cổ phần,3299208472644,VND
1.3. Cổ phiếu quỹ,-19115006409,VND
2. Chênh lệch đánh giá tài sản theo giá trị hợp lý,-3793033106,VND
3. Quỹ dự trữ bổ sung vốn điều lệ,58252419507,VND
4. Lợi nhuận chưa phân phối,4238605402631,VND
4.1. Lợi nhuận đã thực hiện,4308154387375,VND
4.2. Lợi nhuận chưa thực hiện,-69548984744,VND
TỔNG CỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,68519452544897,VND
