Chi_tieu,Gia_tri,Don_vi
1. Lợi nhuận trước thuế,104531537073,VND
- Khấu hao tài sản cố định và BĐS đầu tư,11944357664,VND
"- Lãi, lỗ từ hoạt động đầu tư",-223849778472,VND
- Chi phí lãi vay và chi phí phát hành trái phiếu,164192251663,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,56818367928,VND
"- Tăng, giảm các khoản phải thu",-514847986532,VND
"- Tăng, giảm hàng tồn kho",318579759868,VND
"- Tăng, giảm các khoản phải trả",469105286226,VND
"- Tăng, giảm chi phí trả trước",-7867363887,VND
- Tiền lãi vay đã trả,-96515413021,VND
- Thuế thu nhập doanh nghiệp đã nộp,-39273201493,VND
- Tiền chi khác từ hoạt động kinh doanh,-278542000,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,185720907089,VND
"1. Tiền chi đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-114384000,VND
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",124110000,VND
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-109148778911,VND
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",15299852629,VND
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,830610000000,VND
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",9205248316,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,745976048034,VND
3. Tiền thu từ đi vay,577358047416,VND
4. Tiền chi trả nợ gốc vay,-1625021523648,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,-1047663476232,VND
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),-115966521109,VND
Tiền và tương đương tiền đầu kỳ,137237192438,VND
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),21270671329,VND
