Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,10961929700091,VND
2. Các khoản giảm trừ doanh thu,-149135106950,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10812794593141,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,-8959835563715,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1852959029426,VND
6. Doanh thu hoạt động tài chính,25013151689,VND
8. Phần lãi trong công ty liên kết,4904603405,VND
9. Chi phí bán hàng,-405236274419,VND
10. Chi phí quản lý doanh nghiệp,-344480753443,VND
11. Lợi nhuận thuần từ hoạt động kinh doanh,934149863644,VND
12. Thu nhập khác,47120526924,VND
13. Chi phí khác,-1585776115,VND
14. Lợi nhuận khác,45534750809,VND
15. Tổng lợi nhuận kế toán trước thuế,979684614453,VND
16. Chi phí thuế TNDN hiện hành,-150126680007,VND
17. Lợi nhuận sau thuế TNDN,829557934446,VND
18. Lợi nhuận sau thuế của công ty mẹ,829557934446,VND
19. Lãi cơ bản trên cổ phiếu,7199,VND/co phieu
20. Lãi suy giảm trên cổ phiếu,7199,VND/co phieu
