Chi_tieu,Gia_tri,Don_vi
Doanh thu thuần về bán hàng và cung cấp dịch vụ,2374911980,Nghin VND
Giá vốn hàng bán và dịch vụ cung cấp,-2227827927,Nghin VND
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,147084053,Nghin VND
Doanh thu hoạt động tài chính,1018899635,Nghin VND
Phần lãi trong công ty liên kết,21759456,Nghin VND
Chi phí bán hàng,-290104662,Nghin VND
Chi phí quản lý doanh nghiệp,-212530228,Nghin VND
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,104316499,Nghin VND
Thu nhập khác,111300769,Nghin VND
Chi phí khác,-167243598,Nghin VND
Lỗ khác,-55942829,Nghin VND
Tổng lợi nhuận/(lỗ) kế toán trước thuế,48373670,Nghin VND
Chi phí thuế TNDN hiện hành,-1502385,Nghin VND
Chi phí thuế TNDN hoãn lại,-25975489,Nghin VND
Lợi nhuận/(lỗ) sau thuế TNDN,20895796,Nghin VND
17. Lợi nhuận/(lỗ) sau thuế của công ty mẹ,20911042,Nghin VND
18. Lỗ sau thuế của cổ đông không kiểm soát,-15246,Nghin VND
19. Lãi/(lỗ) cơ bản trên cổ phiếu (VND),19,Nghin VND
20. Lãi/(lỗ) suy giảm trên cổ phiếu (VND),19,Nghin VND
