Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,1012228,Trieu VND
Tiền gửi tại NHNNVN,3374359,Trieu VND
Tiền gửi và cho vay các TCTD khác,25741179,Trieu VND
Chứng khoán kinh doanh - gộp,2705920,Trieu VND
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,144604,Trieu VND
Cho vay khách hàng - gộp,108869236,Trieu VND
Chứng khoán đầu tư - gộp,32220501,Trieu VND
"Góp vốn, đầu tư dài hạn - gộp",131666,Trieu VND
Tài sản cố định và Bất động sản đầu tư,1103421,Trieu VND
Tài sản Có khác - gộp,6128183,Trieu VND
Tổng tài sản,181431297,Trieu VND
Các khoản nợ Chính phủ và NHNNVN,205702,Trieu VND
Tiền gửi và vay các TCTD khác,42516673,Trieu VND
Tiền gửi của khách hàng,113276597,Trieu VND
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",1020,Trieu VND
Phát hành giấy tờ có giá,7064740,Trieu VND
Các khoản nợ khác,3472178,Trieu VND
Tổng nợ phải trả,166536910,Trieu VND
Mức chênh thanh khoản ròng,14894387,Trieu VND
