Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGẮN HẠN,8633533226171,VND
Đầu tư tài chính ngắn hạn,7379214133,VND
Đầu tư nằm giữ đến ngày đáo hạn,7379214133,VND
Các khoản phải thu ngắn hạn,7177798343214,VND
Phải thu ngắn hạn của khách hàng,328709043667,VND
Trả trước cho người bán ngắn hạn,420287314269,VND
Phải thu về cho vay ngắn hạn,2295232500000,VND
Phải thu ngắn hạn khác,4141057962593,VND
Dự phòng phải thu ngắn hạn khó đòi,-7488477315,VND
Hàng tồn kho,858930680831,VND
Hàng tồn kho,858930680831,VND
Tài sản ngắn hạn khác,101431054071,VND
Chỉ phí trả trước ngắn hạn,49943653390,VND
Thuế giá trị gia tăng được khấu trừ,50228977258,VND
Thuế và các khoản khác phải thu Nhà nước,1258423423,VND
TÀI SẢN DÀI HẠN,5761339795356,VND
Các khoản phải thu dài hạn,2273500000000,VND
Phải thu về cho vay dài hạn,2200000000000,VND
Phải thu dài hạn khác,73500000000,VND
Tài sản cố định,85751925636,VND
Tài sản cố định hữu hình,60513580165,VND
- Nguyên giá,135880339811,VND
- Giá trị hao mòn lũy kế,-75366759646,VND
Tài sản cố định vô hình,25238345471,VND
- Nguyên giá,33445160000,VND
- Giá trị hao mòn lũy kế,-8206814529,VND
Bất động sản đầu tư,712802660784,VND
- Nguyên giá,1287224354583,VND
- Giá trị hao mòn lũy kế,-574421693799,VND
Tài sản dở dang dài hạn,285473519212,VND
Chỉ phí xây dựng cơ bản dở dang,285473519212,VND
Đầu tư tài chính dài hạn,2403265015095,VND
Đầu tư vào công ty liên kết,443137443614,VND
Đầu tư góp vốn vào đơn vị khác,1960127571481,VND
Tài sản dài hạn khác,546674629,VND
Chỉ phí trả trước dài hạn,546674629,VND
TỔNG CỘNG TÀI SẢN (270=100+200),14394873021527,VND
NỘ PHẢI TRẢ,7875318647513,VND
Nợ ngắn hạn,4533098892863,VND
Phải trả người bán ngắn hạn,485004491187,VND
Người mua trả tiền trước ngắn hạn,247829048323,VND
Thuế và các khoản phải nộp Nhà nước,236023145314,VND
Phải trả người lao động,13834447600,VND
Chi phí phải trả ngắn hạn,807103266002,VND
Doanh thu chưa thực hiện ngắn hạn,5914678125,VND
Phải trả ngắn hạn khác,1297414719115,VND
Vay ngắn hạn,1437589429843,VND
Dự phòng phải trả ngắn hạn,2385667354,VND
Nợ dài hạn,3342219754650,VND
Chi phí phải trả dài hạn,138484892575,VND
Doanh thu chưa thực hiện dài hạn,178700310839,VND
Phải trả dài hạn khác,534000000000,VND
Vay dài hạn,2488729070212,VND
Dự phòng phải trả dài hạn,2305481024,VND
VỐN CHỦ SỞ HỮU,6519554374014,VND
Vốn chủ sở hữu,6519554374014,VND
Vốn góp của chủ sở hữu,3750000000000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,3750000000000,VND
Thặng dư vốn cổ phần,-320509091,VND
Quỹ khác thuộc vốn chủ sở hữu,-955667772124,VND
Lợi nhuận sau thuế chưa phân phối,3140207024724,VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,2335854379659,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,804352645065,VND
Lợi ích của cổ đông không kiểm soát,585335630505,VND
TỔNG CÔNG NGUỒN VỐN (440=300+400),14394873021527,VND
