Chi_tieu,Gia_tri,Don_vi
Tổng lợi nhuận kế toán trước thuế,414539839097,VND
Thu nhập chịu thuế trước khi cản trừ lỗ năm trước/(lỗ thuế),414577437311,VND
Thu nhập chịu thuế suất của hoạt động chuyển nhượng bất động sản,404101956586,%
Thu nhập chịu thuế/(lỗ thuế) từ các hoạt động khác,10475480725,VND
Lỗ năm trước chuyển sang,-10475480725,VND
Thu nhập chịu thuế ước tính trong năm hiện hành sau khi chuyển lỗ,404101956586,VND
Thuế TNDN phải nộp ước tính trong năm hiện hành,88902430449,VND
Thuế TNDN trả trước đầu năm,-9796285359,VND
Thuế TNDN phải nộp của Công ty VinOffice được sáp nhập vào Công ty,152349426,VND
Thuế TNDN tạm tính cho khoản thanh toán theo tiến độ của khách hàng mua bất động sản,6386791284,VND
Thuế TNDN đã nộp trong năm,-9538786075,VND
Thuế TNDN phải nộp/(trả trước) cuối năm (Thuyết minh số 17),76106499725,VND
