Chi_tieu,Gia_tri,Don_vi
Số dư đầu nămChứng khoán đầu tư sẵn sàng để bánTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),20647,Trieu dong
Số dư đầu nămChứng khoán đầu tư sẵn sàng để bánTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),232346,Trieu dong
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),7500,Trieu dong
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),260493,Trieu dong
Tăng từ sáp nhập Ngân hàng TMCP Phương NamChứng khoán đầu tư sẵn sàng để bán,71738,Trieu dong
Trích/(hoàn nhập) trong nămChứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 29),100970,Trieu dong
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),1170113,Trieu dong
Sử dụng dự phòng xử lý rủi ro trong nămTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),-23914,Trieu dong
Sử dụng dự phòng xử lý rủi ro trong nămTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),1318907,Trieu dong
Số dư cuối nămChứng khoán đầu tư sẵn sàng để bánTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),193355,Trieu dong
Số dư cuối nămChứng khoán đầu tư sẵn sàng để bánTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),1378545,Trieu dong
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),7500,Trieu dong
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),1579400,Trieu dong
