Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi và các khoản thu nhập tương tự,33279748,Trieu VND
Chi phí lãi và các chi phí tương tự,-19310911,Trieu VND
Thu nhập lãi thuần,13968837,Trieu VND
Thu nhập từ hoạt động dịch vụ,679003,Trieu VND
Chi phí hoạt động dịch vụ,-195762,Trieu VND
Lãi thuần từ hoạt động dịch vụ,483241,Trieu VND
Lãi thuần từ hoạt động kinh doanh ngoại hối,153795,Trieu VND
Lãi thuần từ mua bán chứng khoán đầu tư,936951,Trieu VND
Thu nhập từ hoạt động khác,1084168,Trieu VND
Chi phí hoạt động khác,-248918,Trieu VND
Lãi thuần từ hoạt động khác,835250,Trieu VND
"Thu nhập từ góp vốn, mua cổ phần",19342,Trieu VND
Chi phí hoạt động,-3827113,Trieu VND
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,12570303,Trieu VND
Chi phí dự phòng rủi ro tín dụng,-6659683,Trieu VND
▪ Chi phí dự phòng tín dụng,-6659683,Trieu VND
Tổng lợi nhuận trước thuế (mang sang trang sau),5910620,Trieu VND
Tổng lợi nhuận trước thuế(mang sang từ trang trước),5910620,Trieu VND
Chi phí thuế thu nhập doanh nghiệp hiện hành,-1179878,Trieu VND
Chi phí thuế thu nhập doanh nghiệp,-1179878,Trieu VND
Lợi nhuận sau thuế,4730742,Trieu VND
