Chi_tieu,Gia_tri,Don_vi
Cho vay ngắn hạn bên liên quan(Thuyết minh số 37),3581551780,Nghin VND
"Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)",2860085936,Nghin VND
Nhân viên Tập đoàn (ii),109024937,Nghin VND
Thành viên Hội đồng Quản trị Công ty (iii),31098296,Nghin VND
Bên liên quan khác (iv),581342611,Nghin VND
Cho vay ngắn hạn các bên khác (iv),118436342,Nghin VND
Cho vay dài hạn bên liên quan(Thuyết minh số 37),5050459374,Nghin VND
"Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)",1471708240,Nghin VND
Nhân viên Tập đoàn (ii),294936000,Nghin VND
Thành viên Hội đồng Quản trị Công ty (iii),697320000,Nghin VND
Bên liên quan khác (iv),2586495134,Nghin VND
Cho vay dài hạn các bên khác (iv),843568572,Nghin VND
Cho vay dài hạn Chính phủ Lào – Dự án sânbay quốc tế Attapeu (v),167980345,Nghin VND
TỔNG CỘNG,9761996413,Nghin VND
