Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,1996822,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước,3447672,Trieu VND
"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",8602306,Trieu VND
Tiền gửi tại các TCTD khác,7631132,Trieu VND
Cho vay các TCTD khác,1082257,Trieu VND
Dự phòng rủi ro,-111083,Trieu VND
Chứng khoán kinh doanh,65995,Trieu VND
Chứng khoán kinh doanh,127927,Trieu VND
Dự phòng giảm giá chứng khoán kinh doanh,-61932,Trieu VND
Cho vay khách hàng,35765441,Trieu VND
Cho vay khách hàng,36190453,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-425012,Trieu VND
Hoạt động mua nợ,42598,Trieu VND
Mua nợ,54145,Trieu VND
Dự phòng rủi ro hoạt động mua nợ,-11547,Trieu VND
Chứng khoán đầu tư,44891292,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,36929181,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,9319142,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-1357031,Trieu VND
"Góp vốn, đầu tư dài hạn",797527,Trieu VND
Đầu tư vào công ty con,797076,Trieu VND
Đầu tư dài hạn khác,451,Trieu VND
Tài sản cố định,551982,Trieu VND
Tài sản cố định hữu hình,124331,Trieu VND
Nguyên giá,616101,Trieu VND
Giá trị hao mòn lũy kế,-491770,Trieu VND
Tài sản cố định thuê tài chính,263282,Trieu VND
Nguyên giá,312780,Trieu VND
Giá trị hao mòn lũy kế,-49498,Trieu VND
Tài sản cố định vô hình,164369,Trieu VND
Nguyên giá,402761,Trieu VND
Giá trị hao mòn lũy kế,-238392,Trieu VND
Tài sản Có khác,16427686,Trieu VND
Các khoản phải thu,8279284,Trieu VND
"Các khoản lãi, phí phải thu",3376869,Trieu VND
Tài sản Có khác,5297200,Trieu VND
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-525667,Trieu VND
TỔNG TÀI SẢN,112589321,Trieu VND
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,2019657,Trieu VND
Tiền gửi và vay các TCTD khác,30067958,Trieu VND
Tiền gửi của các TCTD khác,13398764,Trieu VND
Vay các TCTD khác,16669194,Trieu VND
Tiền gửi của khách hàng,56831508,Trieu VND
Các công cụ tài chính phải sinh và nợ phải trả tài chính khác,52724,Trieu VND
Phát hành giấy tờ có giá,7268899,Trieu VND
Các khoản nợ khác,2646760,Trieu VND
"Các khoản lãi, phí phải trả",1361447,Trieu VND
Các khoản phải trả và công nợ khác,1285313,Trieu VND
TỔNG NỘ PHẢI TRẢ,98887506,Trieu VND
