Chi_tieu,Gia_tri,Don_vi
Đầu tư vào công ty con,893247580416,VND
- Công ty TNHH Du lịch D&M,5500000000,VND
"- KP Apparel Manufacturing Co.,Ltd(Vương quốc Campuchia)",62138569749,VND
- Công ty TNHH MTV Giấy Vĩnh Phú,20000000000,VND
- Công ty CP Thương mại Tổng hợp Thuận An,3004000000,VND
- Công ty TNHH MTV Quốc tế Protrade,281862265317,VND
- Công ty TNHH Sân Golf Palm Sông Bé,520742745350,VND
"Đầu tư vào công ty liên doanh, liên kết",1041663560299,VND
- Công ty CP Cao su Đầu Tiếng Việt Lào,200000000000,VND
- Công ty Cổ phần Phát triển Phú Mỹ,220643933974,VND
- Công ty TNHH FrieslandCampina VN,88471846000,VND
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc (1),243622560000,VND
- Công ty Cổ phần Hưng Vương,46351795000,VND
- Công ty TNHH YCH-PROTRADE,39905235325,VND
- Công ty CP Đầu tư & Phát triển Tân Thành (3),144000000000,VND
- Công ty Cổ phần May mặc Bình Dương,58668190000,VND
Đầu tư vào đơn vị khác,505000000,VND
- Công ty Cổ phần Cơ khí vận tải Đầu Tiếng,505000000,VND
