Chi_tieu,Gia_tri,Don_vi
Bán nguyên vật liệu,379890505349,VND
Cung cấp dịch vụ,563788528,VND
Bán dụng cụ và vật tư,88482000,VND
Bán hàng hóa khác,318100000,VND
Mua hàng hóa,1278755571382,VND
Mua nguyên vật liệu,1965336008,VND
Chi phí thuê kho,873059168,VND
Giao dịch khác,483091565,VND
Cổ tức đã nhận,24375807500,VND
Bán nguyên vật liệu,261415069467,VND
Cung cấp dịch vụ,5093716092,VND
Bán thành phẩm,3027400,VND
Bán dụng cụ và vật tư,3260746,VND
Mua hàng hóa,802519930925,VND
Mua nguyên vật liệu,1844906000,VND
Cổ tức đã nhận,5100000000,VND
Giao dịch khác,446600000,VND
Bán nguyên vật liệu,420320668438,VND
Cung cấp dịch vụ,4216020541,VND
Mua hàng hóa,1266494775070,VND
Cổ tức đã trả,3100027500,VND
Bán nguyên vật liệu,48874437035,VND
Cung cấp dịch vụ,1839010602,VND
Mua hàng hóa,318756899800,VND
Mua nguyên vật liệu,146021200,VND
Bán nguyên vật liệu,185133506431,VND
Bán thành phẩm,109710150,VND
Bán dụng cụ và vật tư,15675000,VND
Cung cấp dịch vụ,511856064,VND
Mua hàng hóa,555853075362,VND
Mua nguyên vật liệu,212961000,VND
Cổ tức đã nhận,6983307000,VND
