Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,2069872,Trieu dong
Tiền gửi tại NHNN Việt Nam,406961,Trieu dong
Tiền gửi tại và cho vay các TCTD khác,3311460,Trieu dong
Công cụ tài chính phải sinh và các tài sản tài chính khác,578111,Trieu dong
Cho vay khách hàng - gộp,6589102,Trieu dong
Hoạt động mua nợ - gộp,124710,Trieu dong
Tài sản Có khác - gộp,1532438,Trieu dong
Tổng tài sản,14612654,Trieu dong
Tiền gửi và vay các TCTD khác,4810044,Trieu dong
Tiền gửi của khách hàng,9821918,Trieu dong
Công cụ tài chính phải sinh và các nợ tài chính khác,253131,Trieu dong
Phát hành giấy tờ có giá,5,Trieu dong
Các khoản nợ khác,648997,Trieu dong
Tổng nợ phải trả và vốn chủ sở hữu,15534095,Trieu dong
Trạng thái tiền tệ nội bảng,-921441,Trieu dong
Trạng thái tiền tệ ngoại bảng,-116382,Trieu dong
"Trạng thái tiền tệ nội, ngoại bảng",-1037823,Trieu dong
