Chi_tieu,Gia_tri,Don_vi
Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),35935879621477,VND
Tiền và các khoản tương đương tiền,2912027359925,VND
Các khoản tương đương tiền,1886539889675,VND
Các khoản đầu tư tài chính ngắn hạn,20137243800460,VND
Chứng khoán kinh doanh,1193065962,VND
Dự phòng giảm giá chứng khoán kinh doanh,-822663402,VND
Đầu tư nằm giữ đến ngày đáo hạn,20136873397900,VND
Các khoản phải thu ngắn hạn,6529705184034,VND
Phải thu khách hàng,4808183557645,VND
Trả trước cho người bán,655619313409,VND
Phải thu ngắn hạn khác,1080803411003,VND
Dự phòng phải thu khó đòi,-14901098023,VND
Hàng tồn kho,6128081805088,VND
Hàng tồn kho,6165935294543,VND
Dự phòng giảm giá hàng tồn kho,-37853489455,VND
Tài sản ngắn hạn khác,228821471970,VND
Chi phí trả trước ngắn hạn,82860441483,VND
Thuế giá trị gia tăng được khấu trừ,99428954456,VND
Thuế phải thu Ngân sách Nhà nước,46532076031,VND
Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 +260),16737491482983,VND
Các khoản phải thu dài hạn,16131990975,VND
Phải thu dài hạn khác,16131990975,VND
Tài sản cố định,12689652377511,VND
Tài sản cố định hữu hình,11688520305045,VND
Nguyên giá,31109174369693,VND
Giá trị hao mòn lũy kế,-19420654064648,VND
Tài sản cố định vô hình,1001132072466,VND
Nguyên giá,1366405903459,VND
Giá trị hao mòn lũy kế,-365273830993,VND
Bất động sản đầu tư,55594154394,VND
Nguyên giá,98822678885,VND
Giá trị hao mòn lũy kế,-43228524491,VND
Tài sản dở dang dài hạn,936923649898,VND
Chi phí sản xuất kinh doanh dở dang dài hạn,381979710802,VND
Xây dựng cơ bản dở dang,554943939096,VND
Các khoản đầu tư tài chính dài hạn,831227597345,VND
"Đầu tư vào các công ty liên doanh, liên kết",602591028932,VND
Đầu tư góp vốn vào các đơn vị khác,101975059081,VND
Dự phòng giám giá đầu tư tài chính dài hạn,-23582690668,VND
Đầu tư nắm giữ đến ngày đáo hạn,150244200000,VND
Tài sản dài hạn khác,2207961712860,VND
Chi phí trả trước dài hạn,871585543337,VND
Tài sản thuế thu nhập hoãn lại,14448509586,VND
Lợi thế thương mại,1321927659937,VND
TỔNG TÀI SẢN (270 = 100 + 200),52673371104460,VND
NỘ PHẢI TRẢ (300 = 310 + 330),17647627338990,VND
Nợ ngắn hạn,17138689974862,VND
Phải trả người bán ngắn hạn,3805885429198,VND
Người mua trả tiền trước,164712782108,VND
Thuế phải nộp Ngân sách Nhà nước,967878916785,VND
Phải trả người lao động,289224237367,VND
Chi phí phải trả,1910204625860,VND
Doanh thu chưa thực hiện,263912729,VND
Phải trả ngắn hạn khác,1193900858465,VND
Vay ngắn hạn,8217757172267,VND
Dự phòng phải trả,16770514285,VND
Quỹ khen thưởng và phúc lợi,572091525798,VND
Nợ dài hạn,508937364128,VND
Phải trả dài hạn khác,1063378252,VND
Vay dài hạn,238476074100,VND
Thuế thu nhập hoãn lại phải trả,269397911776,VND
VỐN CHỦ SỐ HỮU (400 = 410),35025743765470,VND
Vốn chủ sở hữu,35025743765470,VND
Vốn cổ phần,20899554450000,VND
Thặng dư vốn cổ phần,34110709700,VND
Vốn khác của chủ sở hữu,499080803215,VND
Chênh lệch quy đổi tiền tệ,174100152253,VND
Quỹ đầu tư phát triển,6163736586996,VND
Lợi nhuận sau thuế chưa phân phối,3926232003987,VND
- LNST chưa phân phối lũy kế đến cuối năm trước,1068453760015,VND
- LNST chưa phân phối năm nay,2857778243972,VND
Lợi ích cổ đông không kiểm soát,3328929059319,VND
TỔNG NGUỒN VỐN (440 = 300 + 400),52673371104460,VND
