Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,23030000,VND
Tập đoàn Dầu khí Việt Nam,276761701091,VND
Tập đoàn đầu khí Việt Nam,30597955738,VND
Viện Dầu khí Việt Nam,1139217950,VND
Công ty Cổ phần vận tải đầu khí Đông Dương - Chi nhánh Đông Dương,260700000,VND
Công ty CP Xăng Dầu Dầu Khí Sài Gòn,243156600,VND
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,166050500,VND
Tập đoàn Dầu khí Việt Nam,459336702198,VND
Tổng Công ty Điện lực Dầu khí Việt Nam,80176252657,VND
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP - Chi nhánh Kinh doanh Hóa chất Dầu khí,21579663510,VND
Viện Dầu khí Việt Nam,4522596913,VND
Chi nhánh Tổng Công ty Khí Việt Nam - Công ty Khí Cà Mau,1685954418,VND
Công ty Cổ phần Đầu tư hạ tầng và Đô thị Dầu khí,1606905000,VND
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,1421031890,VND
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,1433323740,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,656021196,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,636470125,VND
Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,596932091,VND
Chi nhánh Tổng Công ty Phân Bón Hóa chất Dầu khí - Công ty Cổ phần - Nhà máy Đạm Phú Mỹ,286626000,VND
Trường Cao đẳng Nghề Dầu khí,110500000,VND
Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,63563000,VND
Công ty Cổ phần Vận tải Dầu khí Đông Dương,201666100,VND
