Chi_tieu,Gia_tri,Don_vi
Phải thu các bên liên quan,19353792538,
Tổng Công ty Đầu tư và Phát triển Công nghiệp -TNHH MTV - Phải thu tiền lợi nhuận được chia từ Dự án Becamex City Center,11254418246,
Công ty TNHH MTV -Khách sạn Becamex - Phải thu tiền cổ tức,4564243363,
Công ty TNHH MTV Thương mại Becamex - Phải thu tiền cổ tức,3535130929,
Phải thu các tổ chức và cá nhân khác,5230824134,
Tiền ứng để thi công hệ thống cấp nước,621950000,
"Chi hộ cho Ban quản lý tòa nhà chung cư New Horizon, tỏa nhà Becamex Tower",132948084,
Phải thu tiền chỉ hộ làm số cho khách hàng mua căn hộ Sunrise,315720800,
Phải thu tiền chỉ hộ làm số cho khách hàng mua dự án The Green River,614353800,
Phải thu tiền chỉ hộ làm số cho khách hàng mua dự án Phố TM IJC2,77199000,
Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,87442346,
Tạm ứng công tác,1116699292,
Các khoản ký quỹ ngắn hạn,40000000,
Thuế GTGT chưa kê khai,2178558229,
Các khoản phải thu ngắn hạn khác,45952583,
