Chi_tieu,Gia_tri,Don_vi
b. Chi phí quản lý doanh nghiệp Chi phí nhân viên,27812312280,VND
Chi phí đồ dùng văn phòng,125412736,VND
Chi phí khấu hao tài sản cố định,1475509037,VND
"Thuế, phí và lệ phí",167855487,VND
Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,131645374113,VND
Chi phí dịch vụ mua ngoài,13927634892,VND
Chi phí bằng tiền khác,3074603625,VND
Lãi từ ủy thác đầu tư,1031658504,VND
Thu nhập từ phạt vi phạm hợp đồng,6568858942,VND
Thu nhập từ thanh lý tài sản cố định,278593682,VND
Các khoản thu nhập khác,1208183150,VND
Chi phí thanh lý công cụ dụng cụ,1274030924,VND
Tiền bồi thường do vi phạm hợp đồng,7960281232,VND
Tiền phạt vi phạm hành chính,19670858,VND
Lỗ ủy thác đầu tư,1899082693,VND
Chi phí dự án không còn thực hiện,1680000000,VND
Các khoản chi phí khác,1074918388,VND
1. Tổng lợi nhuận kế toán trước thuế,141177171482,VND
"2. Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán đề xác định thu nhập chịu thuế thu nhập doanh nghiệp:",-60586542456,VND
Các khoản điều chỉnh tăng,4138521074,VND
+ Chi phí không được trì,4138521074,VND
Các khoản điều chỉnh giảm,-64725063530,VND
"+ Cổ tức, lợi nhuận nhận được",-40423449655,VND
+ Chi phí lãi vay không được trì theo ND 132 các năm trước chuyển sang,-24301613875,VND
3. Thu nhập chịu thuế năm hiện hành (1+2),80590629026,VND
5. Thu nhập chịu thuế hiện hành sau khi kết chuyển lỗ các năm trước,80590629026,VND
6. Chi phí thuế thu nhập doanh nghiệp hiện hành,16118125805,VND
8. Tổng chi phí thuế thu nhập doanh nghiệp trong năm (*),16118125805,VND
