Chi_tieu,Gia_tri,Don_vi
Doanh thu bán hàng hóa,492083000,VND
Doanh thu cung cấp dịch vụ,298860606,VND
Cổ tức,132801225800,VND
Thu hồi gốc cho vay nguồn vốn vay ADB,12655168729,VND
Lãi và phí cho khoản cho vay lại nguồn vốn vay ADB,36299798884,VND
Thu hồi gốc cho vay nguồn vốn vay ADB,5173620179,VND
Lãi và phí của khoản cho vay lại nguồn vốn vay ADB,14845818648,VND
Cho vay,10000000000,VND
Thu hồi gốc vay,10000000000,VND
Thu nhập tiền lãi từ cho vay,414027397,VND
Thu nhập tiền lãi từ cho vay,4549957195,VND
Doanh thu bán hàng hóa,16397649299,VND
Doanh thu cung cấp dịch vụ,40909091,VND
Mua hàng hóa và dịch vụ,16613760299,VND
Thu hồi gốc cho vay nguồn vốn vay ADB,3208739710,VND
Lãi và phí của khoản cho vay lại nguồn vốn vay ADB,9194707732,VND
Cổ tức,5115313000,VND
Mua cổ phần,48999300000,VND
Cổ tức,36690366000,VND
Doanh thu cung cấp dịch vụ,146155828,VND
Thu hồi gốc cho vay nguồn vốn vay ADB,1935519047,VND
Lãi và phí của khoản cho vay lại nguồn vốn vay ADB,5554015135,VND
Thu nhập tiền lãi từ cho vay,4202727672,VND
Thu hồi gốc cho vay,23200000000,VND
Doanh thu cho thuê,8340129938,VND
Thu hồi gốc cho vay đã trả hộ,20000000000,VND
Nhận điều chuyển tài sản,16877525945,VND
Thu hồi gốc cho vay dự án May Tuyên Quang,24053362464,VND
Doanh thu bán hàng hóa,31128389315,VND
Doanh thu cung cấp dịch vụ,368702566,VND
"Thu nhập tiền lãi từ cho vay, trả chậm",2775311429,VND
Thu hồi gốc cho vay,1000000000,VND
Thu hồi gốc cho vay nguồn vốn vay ADB,1432579006,VND
Lãi và phí của khoản cho vay lại nguồn vốn vay ADB,4113459675,VND
Cổ tức,6120000000,VND
Doanh thu cho thuê,9352977500,VND
Doanh thu cung cấp dịch vụ,1176222000,VND
Mua cổ phần,1335000000,VND
Doanh thu cung cấp dịch vụ,90957575,VND
Cổ tức,10227398000,VND
Doanh thu cung cấp dịch vụ,1045348729,VND
Mua hàng hóa,16213824683,VND
Bán hàng hóa và cung cấp dịch vụ,873215691,VND
Mua hàng hóa,220222158,VND
Cung cấp dịch vụ,559308966,VND
Mua hàng hóa,37037037,VND
Mua hàng hóa,126144985757,VND
Doanh thu cung cấp dịch vụ,3857834407,VND
Mua hàng hóa,462000000,VND
