Chi_tieu,Gia_tri,Don_vi
Công ty TNHH Công Nghiệp Titan (Hưng Yên),305471941000,VND
Công ty Cổ phần Nước sạch Tây Hà Nội,30712296000,VND
Tổng Công ty Thiết bị điện Đông Anh - CTCP,14813951000,VND
Công ty Cổ phần Thiết bị Công nghiệp GEIC,13791371982,VND
Công ty TNHH Năng lượng GELEX Ninh Thuận,9675813307,VND
Công ty TNHH Kính nối Việt Nam (VFG),6795621550,VND
Công ty TNHH S.A.S. - CTAMAD,1269000000,VND
Công ty TNHH Chế tạo diện cơ HEM,2986209117,VND
Công ty TNHH ICAPITAL,384947412,VND
Công ty Cổ phần Viglacera Hạ Long II,144511000,VND
Công ty SanVig - CTCP,65123608,VND
