Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quý",712715793026,VND
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,2072665956459,VND
Tiền gửi và cho vay các tổ chức tín dụng khác,17493631511831,VND
Tiền gửi tại các tổ chức tín dụng khác,14352506292012,VND
Cho vay các tổ chức tín dụng khác,3141125219819,VND
Chứng khoán kinh doanh,496581000000,VND
Chứng khoán kinh doanh,496581000000,VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,70802974907,VND
Cho vay khách hàng,70366005219323,VND
Cho vay khách hàng,71090741071723,VND
Dự phòng rủi ro cho vay khách hàng,-724735852400,VND
Chứng khoán đầu tư,22873713733332,VND
Chứng khoán đầu tư sẵn sàng để bán,22934127428730,VND
Dự phòng rủi ro chứng khoán đầu tư,-60413695398,VND
"Góp vốn, đầu tư dài hạn",4838475818,VND
Đầu tư dài hạn khác,24540000000,VND
Dự phòng giảm giá đầu tư dài hạn,-19701524182,VND
Tài sản cố định,595402569540,VND
Tài sản cố định hữu hình,316367768679,VND
Nguyên giá,645486497178,VND
Giá trị hao mòn lũy kế,-329118728499,VND
Tài sản cố định vô hình,279034800861,VND
Nguyên giá,418215816476,VND
Giá trị hao mòn lũy kế,-139181015615,VND
Tài sản Có khác,3473613613512,VND
Các khoản phải thu,1683912353040,VND
"Các khoản lãi, phí phải thu",1401523985520,VND
Tài sản Có khác,392977274952,VND
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-4800000000,VND
TỔNG TÀI SẢN,118159970847748,VND
Các khoản nợ Ngân hàng Nhà nước Việt Nam,170256322260,VND
Tiền gửi và vay các tổ chức tín dụng khác,18368865706788,VND
Tiền gửi của các tổ chức tín dụng khác,13693945020646,VND
Vay các tổ chức tín dụng khác,4674920686142,VND
Tiền gửi của khách hàng,69142056294441,VND
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",4628453305634,VND
Phát hành giấy tờ có giá,11764565982207,VND
Các khoản nợ khác,2578622877650,VND
"Các khoản lãi, phí phải trả",1701352095988,VND
Các khoản phải trả và công nợ khác,877270781662,VND
TỔNG NỘ PHẢI TRẢ,106652820488980,VND
Vốn chủ sở hữu,11507150358768,VND
Vốn điều lệ,7898570750000,VND
Thặng dư vốn cổ phần,151217253124,VND
Các quỹ,1075944773514,VND
Lợi nhuận chưa phân phối,2381417582130,VND
TỔNG VỐN CHỦ SỞ HỮU,11507150358768,VND
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,118159970847748,VND
Bảo lãnh vay vốn,85085432100,VND
Cam kết giao dịch hối đoái Trong đó:,47986481827232,VND
■ Cam kết mua ngoại tệ,1185122030475,VND
■ Cam kết bán ngoại tệ,1185052450000,VND
■ Cam kết giao dịch hoán đổi tiền tệ,45616307346757,VND
Cam kết trong nghiệp vụ L/C,1867433114624,VND
Bảo lãnh khác,7236986917528,VND
