Chi_tieu,Gia_tri,Don_vi
Thương mại,34441784,Trieu VND
Nông. lâm nghiệp,881687,Trieu VND
Sản xuất và gia công chế biến,21218248,Trieu VND
Xây dựng,6922641,Trieu VND
Dịch vụ cá nhân và cộng đồng,2583919,Trieu VND
"Kho bãi, giao thông vận tải và thông tin liên lạc",3071674,Trieu VND
Giáo dục và đào tạo,241580,Trieu VND
Tư vấn và kinh doanh bất động sản,3610697,Trieu VND
Nhà hàng và khách sạn,2469500,Trieu VND
Dịch vụ tài chính,31801,Trieu VND
Các ngành nghề khác và cho vay cá nhân,87927690,Trieu VND
