Chi_tieu,Gia_tri,Don_vi
Xây dựng Nhà ga Hành khách T2 – Cảng Hàng không Quốc tế (“CHKQT”) Nội Bài,12020730385315,VND
Mở rộng sân độ máy bay – Cảng Hàng không (“CHK”) Cần Thơ,297877651895,VND
"Cải tạo, mở rộng nhà ga hàng không, sân đậu ô tô CHK Chu Lai",130398695184,VND
"Sửa chữa, cải tạo và mở rộng sân độ máy bay - CHKQT Tân Sơn Nhất",100578685000,VND
"Nâng cấp, cải tạo sân độ máy bay khu vực nhà ga cũ và đường lăn W2 - CHKQT Cát Bi",97377318671,VND
Cải tạo mở rộng sảnh A khu vực làm thủ tục ga đi trong nước - CHKQT Tân Sơn Nhất,24762025426,VND
Cải tạo hệ thống thoát nước khu hàng không dân dụng - CHKQT Cam Ranh,17080490546,VND
Đầu tư cải tạo bề Oxy hóa của hệ thống xử lý nước thải nhà ga quốc tế - CHKQT Tân Sơn Nhất,11289363863,VND
Xây dựng sân độ ô tô khách - CHK Phú Quốc,11126588181,VND
TỔNG CỘNG,12711221204081,VND
