Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quý",11066956,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước (NHNN),29727110,Trieu VND
Tiền gửi và cho vay các TCTD khác,242431953,Trieu VND
Tiền gửi tại các TCTD khác,222454660,Trieu VND
Cho vay các TCTD khác,19977293,Trieu VND
Chứng khoán kinh doanh,1406183,Trieu VND
Chứng khoán kinh doanh,1622967,Trieu VND
Dự phòng rủi ro chứng khoán kinh doanh,-216784,Trieu VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,3058727,Trieu VND
Cho vay khách hàng,1245057876,Trieu VND
Cho vay khách hàng,1274821709,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-29763833,Trieu VND
Chứng khoán đầu tư,180312848,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,178685028,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,1696778,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-68958,Trieu VND
"Góp vốn, đầu tư dài hạn",3519441,Trieu VND
Vốn góp liên doanh,3303160,Trieu VND
Đầu tư dài hạn khác,234462,Trieu VND
Dự phòng giảm giá đầu tư dài hạn,-18181,Trieu VND
Tài sản cố định,10202191,Trieu VND
Tài sản cố định hữu hình,6047480,Trieu VND
Nguyên giá TSCĐ,16190830,Trieu VND
Hao mòn TSCĐ,-10143350,Trieu VND
Tài sản cố định vô hình,4154711,Trieu VND
Nguyên giá TSCĐ,6779297,Trieu VND
Hao mòn TSCĐ,-2624586,Trieu VND
Tài sản Có khác,81646479,Trieu VND
Các khoản phải thu,65993812,Trieu VND
"Các khoản lãi, phí phải thu",12399295,Trieu VND
Tài sản Có khác,3314998,Trieu VND
Dự phòng rủi ro cho các tài sản Có nội bằng khác,-61626,Trieu VND
TỔNG TÀI SẢN CÓ,1808429764,Trieu VND
Các khoản nợ Chính phủ và NHNN,104779302,Trieu VND
"Tiền gửi và vay Chính phủ, NHNN",104779302,Trieu VND
Tiền gửi và vay các TCTD khác,209429843,Trieu VND
Tiền gửi của các TCTD khác,139932528,Trieu VND
Vay các TCTD khác,69497315,Trieu VND
Tiền gửi của khách hàng,1249176034,Trieu VND
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",2392201,Trieu VND
Phát hành giấy tờ có giá,91370419,Trieu VND
Các khoản nợ khác,43114308,Trieu VND
"Các khoản lãi, phí phải trả",21587660,Trieu VND
Thuế TNDN hoãn lại phải trả,112,Trieu VND
Các khoản phải trả và công nợ khác,20487746,Trieu VND
Dự phòng rủi ro khác,1038790,Trieu VND
TỔNG NỘ PHẢI TRẢ,1700262107,Trieu VND
Vốn và các quỹ,108167657,Trieu VND
Vốn của TCTD,57868215,Trieu VND
Vốn điều lệ,48057506,Trieu VND
Thặng dư vốn cổ phần,8974677,Trieu VND
Vốn khác,836032,Trieu VND
Quỹ của TCTD,16074632,Trieu VND
Chênh lệch tỷ giá hối đoái,120993,Trieu VND
Lợi nhuận sau thuế chưa phân phối,33364370,Trieu VND
Lợi ích của cổ đông không kiểm soát,739447,Trieu VND
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1808429764,Trieu VND
