Chi_tieu,Gia_tri,Don_vi
Tổng thu nhập,1256161,Trieu dong
Thu nhập lãi thuần,974871,Trieu dong
Lãi/ lỗ thuần từ hoạt động dịch vụ và ngoại hối,67585,Trieu dong
Lãi/ lỗ thuần từ hoạt động dịch vụ,55959,Trieu dong
Lãi/ lỗ thuần từ hoạt động kinh doanh ngoại hối,11626,Trieu dong
Lãi/ lỗ thuần từ mua bán chứng khoán đầu tư,116790,Trieu dong
Lãi/ lỗ thuần từ hoạt động khác,96192,Trieu dong
"Thu nhập từ góp vốn, mua cổ phần",724,Trieu dong
Tổng chi phí,966080,Trieu dong
Chi phí hoạt động,928436,Trieu dong
Chi phí dự phòng rủi ro tín dụng,37644,Trieu dong
Tổng lợi nhuận trước thuế,290082,Trieu dong
Chi phí thuế TNDN,58193,Trieu dong
Lợi nhuận sau thuế,231889,Trieu dong
