Chi_tieu,Gia_tri,Don_vi
Tại ngày 1 tháng 1 năm 2021,3087134327997,VND
Vốn tăng trong năm,216940150000,VND
Lợi nhuận thuần trong năm,230743655551,VND
Trà cổ tức,-108470075200,VND
"Trích quỹ khen thưởng, phúc lợi",-11537182777,VND
Tại ngày 31 tháng 12 năm 2021,3414457275571,VND
Phát hành cổ phiếu ưu đãi trong năm (*),642000000000,VND
Lợi nhuận thuần trong năm,286099768518,VND
"Trích quỹ khen thưởng, phúc lợi (**)",-17672969908,VND
Đầu tư mở rộng quy mô kinh doanh (***),-4800000000,VND
Chỉ phí phát hành cổ phiếu,-11986604669,VND
Tại ngày 31 tháng 12 năm 2022,4308097469512,VND
