Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quý",92064288486,VND
Tiền gửi tại NHNN,37886285106,VND
Tiền gửi tại và cho vay các TCTD khác,6891702080248,VND
Các công cụ tài chính phải sinh,-1309972825916,VND
Cho vay khách hàng - gộp,1053525197883,VND
Tài sản Có khác - gộp,293382408605,VND
Tổng tài sản,7058587434412,VND
Tiền gửi và vay các tổ chức tín dụng khác,1580525205772,VND
Tiền gửi của khách hàng,851166644029,VND
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",4245237500000,VND
Các khoản nợ khác,110035762196,VND
Tổng nợ phải trả,6786965111997,VND
Trạng thái tiền tệ nội bảng,271622322415,VND
Trạng thái tiền tệ ngoại bảng,-218295659800,VND
"Trạng thái tiền tệ nội, ngoại bảng",53326662615,VND
