Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi và các khoản thu nhập tương tự,21023316,Trieu dong
Chi phí lãi và các chi phí tương tự,-16088687,Trieu dong
Thu nhập lãi thuần,4934629,Trieu dong
Thu nhập từ hoạt động dịch vụ,3133097,Trieu dong
Chi phí hoạt động dịch vụ,-737660,Trieu dong
Lãi thuần từ hoạt động dịch vụ,2395437,Trieu dong
Lãi thuần từ hoạt động kinh doanh ngoại hối,332893,Trieu dong
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,13965,Trieu dong
Lãi thuần từ mua bán chứng khoán đầu tư,157524,Trieu dong
Thu nhập từ hoạt động khác,352390,Trieu dong
Chi phí hoạt động khác,-7995,Trieu dong
Lãi thuần từ hoạt động khác,344395,Trieu dong
"Thu nhập từ góp vốn, mua cổ phần",16831,Trieu dong
TỔNG THU NHẬP HOẠT ĐỘNG,8195674,Trieu dong
Chi phí cho nhân viên,-3887306,Trieu dong
Chi phí khấu hao,-379602,Trieu dong
Chi phí hoạt động khác,-1729213,Trieu dong
TỔNG CHI PHÍ HOẠT ĐỘNG,-5996121,Trieu dong
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,2199553,Trieu dong
Chi phí dự phòng rủi ro tín dụng,-715933,Trieu dong
TỔNG LỢI NHUẬN TRƯỚC THUẾ,1483620,Trieu dong
Chi phí thuế thu nhập doanh nghiệp hiện hành,-219086,Trieu dong
(Chi phí)/thu nhập thuế TNDN hoãn lại,-35665,Trieu dong
Tổng chi phí thuế thu nhập doanh nghiệp,-254751,Trieu dong
LỢI NHUẬN SAU THUẾ,1228869,Trieu dong
