Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,1148489,Trieu dong
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,13632932,Trieu dong
"Tiền gửi tại và cho vay các tổ chức tín dụng (""TCTD"") khác",36809783,Trieu dong
Tiền gửi tại các TCTD khác,36519898,Trieu dong
Cho vay các TCTD khác,289885,Trieu dong
Cho vay khách hàng,165672890,Trieu dong
Cho vay khách hàng,167737997,Trieu dong
Dự phòng rủi ro cho vay khách hàng,-2065107,Trieu dong
Chứng khoán đầu tư,20841857,Trieu dong
Chứng khoán đầu tư sẵn sàng để bán,10289877,Trieu dong
Chứng khoán đầu tư giữ đến ngày đáo hạn,10566774,Trieu dong
Dự phòng rủi ro chứng khoán đầu tư,-14794,Trieu dong
"Góp vốn, đầu tư dài hạn",142759,Trieu dong
Đầu tư dài hạn khác,224011,Trieu dong
Dự phòng đầu tư dài hạn,-81252,Trieu dong
Tài sản cố định,2188108,Trieu dong
Tài sản cố định hữu hình,1528846,Trieu dong
Nguyên giá tài sản cố định,2307181,Trieu dong
Khấu hao tài sản cố định,-778335,Trieu dong
Tài sản cố định thuê tài chính,79745,Trieu dong
Nguyên giá tài sản cố định,159317,Trieu dong
Khấu hao tài sản cố định,-79572,Trieu dong
Tài sản cố định vô hình,579517,Trieu dong
Nguyên giá tài sản cố định,755607,Trieu dong
Hao mòn tài sản cố định,-176090,Trieu dong
Bất động sản đầu tư,30439,Trieu dong
Nguyên giá bất động sản đầu tư,30439,Trieu dong
Tài sản Có khác,4661726,Trieu dong
Các khoản phải thu,919497,Trieu dong
"Các khoản lãi, phí phải thu",3001116,Trieu dong
Tài sản Có khác,780289,Trieu dong
Dự phòng rủi ro cho các tài sản Có nội bằng khác,-39176,Trieu dong
TỔNG TÀI SẢN,245128983,Trieu dong
Các khoản nợ Chính phủ và NHNN Việt Nam,2577611,Trieu dong
"Tiền gửi và vay Chính phủ, NHNN",2577611,Trieu dong
Tiền gửi và vay các TCTD khác,39196315,Trieu dong
Tiền gửi của các TCTD khác,37715294,Trieu dong
Vay các TCTD khác,1481021,Trieu dong
Tiền gửi của khách hàng,158334003,Trieu dong
Các công cụ tài chính phải sinh và nợ phải trả khác,6768,Trieu dong
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1076174,Trieu dong
Phát hành giấy tờ có giá,20006940,Trieu dong
Các khoản nợ khác,4642639,Trieu dong
"Các khoản lãi, phí phải trả",3395608,Trieu dong
Các khoản phải trả và công nợ khác,1247031,Trieu dong
TỔNG NỘ PHẢI TRẢ,225840450,Trieu dong
Vốn điều lệ,13725506,Trieu dong
Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,10,Trieu dong
Thặng dư vốn cổ phần,63,Trieu dong
Vốn khác,25,Trieu dong
Các quỹ dự trữ,2174392,Trieu dong
Lợi nhuận chưa phân phối,3388537,Trieu dong
TỔNG VỐN CHỦ SỞ HỮU,19288533,Trieu dong
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,245128983,Trieu dong
