Chi_tieu,Gia_tri,Don_vi
Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hữu trí phải trả thuần,297826332,Nghin VND
Giá trị thuế của các khoản lỗ mang sang,446264329,Nghin VND
Lãi chưa thực hiện từ các giao dịch nội bộ,22140757,Nghin VND
Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,8018272,Nghin VND
Dự phòng hàng tồn kho,19128896,Nghin VND
"Chi phí phải trả, các khoản dự phòng và các khoản khác (*)",36677793,Nghin VND
Bù trừ,-773892819,Nghin VND
Tổng tài sản thuế thu nhập hoãn lại,56163560,Nghin VND
Thuế thu nhập hoãn lại phải trả:Trữ lượng khai thác và trữ lượng địa chất,489936081,Nghin VND
Tài sản dài hạn,151833739,Nghin VND
Lỗ chưa thực hiện từ các giao dịch nội bộ,42441627,Nghin VND
Tài sản vô hình mới được xác định từ hợp nhất kinh doanh (*),824760181,Nghin VND
Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),688334476,Nghin VND
Dầu tư vào công ty liên kết,53271287,Nghin VND
Các khoản khác (*),3289488,Nghin VND
Bù trừ,-796346670,Nghin VND
Tổng thuế thu nhập hoãn lại phải trả,1457520209,Nghin VND
