Chi_tieu,Gia_tri,Don_vi
Tài sản ngắn hạn(100 = 110 + 120 + 130 + 150),1152314600394,VND
Tiền và các khoản tương đương tiền,202737784651,VND
Các khoản tương đương tiền,150000000000,VND
Các khoản phải thu ngắn hạn,939075118365,VND
Trà trước cho người bán,1114928526,VND
Phải thu về cho vay ngắn hạn,685000000000,VND
Phải thu ngắn hạn khác,252960189839,VND
Tài sản ngắn hạn khác,10501697378,VND
Chi phí trả trước ngắn hạn,2644051268,VND
Thuế phải thu Nhà nước,7857646110,VND
Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),54073288226947,VND
Các khoản phải thu dài hạn,4828186052,VND
Phải thu dài hạn khác,4828186052,VND
Tài sản cố định,13169721743,VND
Tài sản cố định hữu hình,13169721743,VND
Nguyên giá,44641557642,VND
Giá trị hao mòn lũy kế,-31471835899,VND
Nguyên giá,4697122903,VND
Giá trị hao mòn lũy kế,-4697122903,VND
Đầu tư tài chính dài hạn,53883603547735,VND
Đầu tư vào các công ty con,25812570202463,VND
Đầu tư vào một công ty liên kết,4378837077636,VND
Đầu tư góp vốn vào đơn vị khác,23692196267636,VND
Tài sản dài hạn khác,171686771417,VND
Chi phí trả trước dài hạn,171686771417,VND
TỔNG TÀI SẢN (270 = 100 + 200),55225602827341,VND
NỘ PHẢI TRẢ (300 = 310 + 330),32017068319812,VND
Nợ ngắn hạn,6457489575236,VND
Phải trả người bán,12101257769,VND
Thuế phải nộp Nhà nước,1491102504,VND
Phải trả người lao động,27923958,VND
Chi phí phải trả ngắn hạn,758900922043,VND
Phải trả ngắn hạn khác,2301488916907,VND
Vay ngắn hạn,3383479452055,VND
Nợ dài hạn,25559578744576,VND
Chi phí phải trả dài hạn,116647503186,VND
Vay và trái phiếu phát hành dài hạn,25442931241390,VND
VỐN CHỦ SỞ HỮU (400 = 410),23208534507529,VND
Vốn chủ sở hữu,23208534507529,VND
Vốn cổ phần,11746832460000,VND
Thặng dư vốn cổ phần,11084296541079,VND
Vốn khác của chủ sở hữu,-1695338182568,VND
Lợi nhuận sau thuế chưa phân phối,2072743689018,VND
- LNST chưa phân phối đến cuối năm trước,3395529005610,VND
- (Lỗ năm nay)/LNST chưa phân phối năm trước,-1322785316592,VND
TỔNG NGUỒN VỐN (440 = 300 + 400),55225602827341,VND
