Chi_tieu,Gia_tri,Don_vi
Số dư đầu năm,400958692169,VND
Tăng trong năm,780207643515,VND
Chuyển từ tài sản cố định vô hình,52494233005,VND
Chuyển sang hàng tồn kho,-173330273189,VND
Chuyển sang chi phí trả trước ngắn hạn,-824167038,VND
Chuyển sang tài sản cố định hữu hình,-224259162782,VND
Chuyển sang tài sản cố định vô hình,-1161122567,VND
Chuyển sang tài sản cố định hữu hình thuê tài chính,-1751686426,VND
Chuyển sang bắt động sản đầu tư,-220929285987,VND
Chuyển sang chi phí trả trước dài hạn,-30464721675,VND
Xóa sổ,-1789598272,VND
Số dư cuối năm,579150550753,VND
