Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi thuần,35796799,VND
- Từ các giao dịch với khách hàng bên ngoài,35796799,VND
Lãi/(lỗ) thuần từ hoạt động dịch vụ,5266381,VND
- Từ các giao dịch với khách hàng bên ngoài,5266381,VND
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,1732324,VND
Lãi thuần từ mua bán chứng khoán,1994805,VND
Lãi thuần từ hoạt động khác,5092568,VND
"Thu nhập từ góp vốn, mua cố phần",154267,VND
TỔNG THU NHẬP HOẠT ĐỘNG,50037144,VND
Chi phí nhân viên,-10117321,VND
Chi phí khấu hao và khấu trừ,-980093,VND
Chi phí hoạt động khác,-6595546,VND
TỔNG CHI PHÍ HOẠT ĐỘNG,-17692960,VND
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,32344184,VND
(Chi phí)/ Hoàn nhập dự phòng rủi ro tín dụng,-23317941,VND
TỔNG LỢI NHUẬN TRƯỚC THUẾ,9026243,VND
Chi phí thuế TNDN hiện hành,-1799378,VND
Thu nhập/(Chi phí) thuế TNDN hoãn lại,-3300,VND
LỢI NHUẬN SAU THUẾ,7223565,VND
TỔNG TÀI SẢN,1516685712,VND
TỔNG NỘ PHẢI TRẢ,1437039100,VND
