Chi_tieu,Gia_tri,Don_vi
Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,5761450705430,VND
Tổng doanh thu,5761450705430,VND
Kết quả hoạt động kinh doanh,777231679779,VND
Chi phí không phân bổ,-219610342965,VND
Lợi nhuận từ hoạt động kinh doanh,557621336814,VND
Doanh thu hoạt động tài chính,163519833453,VND
Lợi nhuận khác,52218241784,VND
Chi phí tài chính,-227120039861,VND
Lợi nhuận trước thuế,546239372190,VND
Chi phí thuế thu nhập doanh nghiệp,-114672179021,VND
Thuế thu nhập doanh nghiệp hoãn lại,1123581606,VND
Lợi nhuận trong năm,432690774775,VND
Khẩu hao,447313425698,VND
Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,5267603309032,VND
Tổng doanh thu,5267603309032,VND
Kết quả hoạt động kinh doanh,548648643648,VND
Chi phí không phân bổ,-195406464310,VND
Lợi nhuận từ hoạt động kinh doanh,353242179338,VND
Doanh thu hoạt động tài chính,187591343297,VND
Lợi nhuận khác,90677612017,VND
Chi phí tài chính,-145820491774,VND
Lợi nhuận trước thuế,485690642878,VND
Thu nhập thuế thu nhập doanh nghiệp,-80574013045,VND
Chi phí thuế thu nhập doanh nghiệp hoãn lại,-3030473529,VND
Lợi nhuận trong năm,402086156304,VND
Khẩu hao,397371143570,VND
