Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi thuần,23975047,Trieu VND
Các khoản thu nhập ngoài lãi,4108396,Trieu VND
TỔNG THU NHẬP HOẠT ĐỘNG,28083443,Trieu VND
TỔNG CHI PHÍ HOẠT ĐỘNG,-13364897,Trieu VND
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14718546,Trieu VND
Chi phí dự phòng rủi ro tín dụng,-2159878,Trieu VND
TỔNG LỢI NHUẬN TRƯỚC THUẾ,12558668,Trieu VND
Tiền mặt và vàng,7948136,Trieu VND
Tiền gửi tại NHNNVN,15773101,Trieu VND
Tiền gửi tại và cho vay các TCTD khác,92252625,Trieu VND
Cho vay khách hàng – thuần,518699691,Trieu VND
Chứng khoán đầu tư – thuần,89253107,Trieu VND
Tài sản Có khác – thuần,17116461,Trieu VND
TỔNG TÀI SẢN,741043121,Trieu VND
Các khoản nợ Chính phủ và NHNNVN,54255,Trieu VND
Tiền gửi và vay các TCTD khác,71580613,Trieu VND
Tiền gửi của khách hàng,561741401,Trieu VND
Phát hành giấy tờ có giá,36753523,Trieu VND
Nợ phải trả khác,16822799,Trieu VND
TỔNG NỘ PHẢI TRẢ,686952591,Trieu VND
