Chi_tieu,Gia_tri,Don_vi
Dịch vụ tư vấn quản lý,66973000000,VND
Dịch vụ tư vấn quản lý,55740925659,VND
Công ty TNHH Anabuki NL Housing Service Việt Nam,2478065884,VND
Công ty TNHH Anabuki NL Housing Service Việt Nam,381440000,VND
Phải thu từ HĐHTKD Thu nhập cổ tức,55445462994,VND
Phải thu từ HĐHTKD Thu nhập cổ tức,4527312825,VND
Tân Hiệp,567000000,VND
Anabuki NL,110000000,VND
Công ty TNHH Anabuki NL Housing Service Việt Nam,22492001049,VND
Mua đất nền,2118000000,VND
Dịch vụ tư vấn xây dựng,147818673,VND
