Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGĂN HẠN,2668768995397,VND
Tiền và các khoản tương đương tiền,274769924230,VND
Các khoản tương đương tiền,150500000000,VND
Đầu tư tài chính ngắn hạn,1387300000000,VND
Đầu tư nằm giữ đến ngày đáo hạn,1387300000000,VND
Các khoản phải thu ngắn hạn,946287801515,VND
Phải thu ngắn hạn của khách hàng,803056484088,VND
Trả trước cho người bán ngắn hạn,3360887233,VND
Phải thu ngắn hạn khác,142952976691,VND
Dự phòng phải thu ngắn hạn khó đòi,-3082546497,VND
Hàng tồn kho,47170027873,VND
Hàng tồn kho,47170027873,VND
Tài sản ngắn hạn khác,13241241779,VND
Chỉ phí trả trước ngắn hạn,8706105948,VND
Thuế giá trị gia tăng được khấu trừ,4533180989,VND
Thuế và các khoản khác phải thu Nhà nước,1954842,VND
TÀI SẢN DÀI HẠN,4602896720519,VND
Các khoản phải thu dài hạn,175851784164,VND
Phải thu dài hạn khác,175851784164,VND
Tài sản cố định,2109182700752,VND
Tài sản cố định hữu hình,2108812723758,VND
- Nguyên giá,2977824072793,VND
- Giá trị hao mòn lũy kế,-869011349035,VND
Tài sản vô hình,369976994,VND
- Nguyên giá,5706839487,VND
- Giá trị hao mòn lũy kế,-5336862493,VND
Đầu tư tài chính dài hạn,2261850465847,VND
Đầu tư vào công ty con,2217747240000,VND
"Đầu tư vào công ty liên doanh, liên kết",97000000000,VND
Đầu tư góp vốn vào đơn vị khác,45937767300,VND
Dự phòng đầu tư tài chính dài hạn,-98834541453,VND
Tài sản dài hạn khác,56011769756,VND
Chỉ phí trả trước dài hạn,21105092140,VND
Tài sản thuế thu nhập hoãn lại,34906677616,VND
TỔNG CỘNG TÀI SẢN (270=100+200),7271665715916,VND
Nợ PHẢI TRẢ,2852015220822,VND
Nợ ngắn hạn,1433266235486,VND
Phải trả người bán ngắn hạn,491477183241,VND
Người mua trả tiền trước ngắn hạn,1250000000,VND
Thuế và các khoản phải nộp Nhà nước,32452606909,VND
Phải trả người lao động,146528727401,VND
Chỉ phí phải trả ngắn hạn,129770539293,VND
Doanh thu chưa thực hiện ngắn hạn,5618925683,VND
Phải trả ngắn hạn khác,86218250710,VND
Vay và nợ thuê tài chính ngắn hạn,298903209422,VND
Dự phòng phải trả ngắn hạn,133939727809,VND
"Quỹ khen thưởng, phúc lợi",107107065018,VND
Nợ dài hạn,1418748985336,VND
Doanh thu chưa thực hiện dài hạn,17500058333,VND
Phải trả dài hạn khác,448803033600,VND
Vay và nợ thuê tài chính dài hạn,921256566403,VND
Dự phòng phải trả dài hạn,31189327000,VND
VỐN CHỦ SỞ HỮU,4419650495094,VND
Vốn chủ sở hữu,4419650495094,VND
Vốn góp của chủ sở hữu,3236512460000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,3236512460000,VND
Quỹ đầu tư phát triển,625607883196,VND
Quỹ khác thuộc vốn chủ sở hữu,44843396730,VND
Lợi nhuận sau thuế chưa phân phối,512686755168,VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,9896756982,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,502789998186,VND
TỔNG CỘNG NGUỒN VỐN (440=300+400),7271665715916,VND
