Chi_tieu,Gia_tri,Don_vi
Các khoản phải trả nội bộ,431225,Trieu dong
- Các khoản phải trả cho Cán bộ CNV,266101,Trieu dong
- Quỹ khen thưởng và phúc lợi phải trả,45171,Trieu dong
- Các khoản phải trả nội bộ khác,119953,Trieu dong
Các khoản phải trả bên ngoài,1447872,Trieu dong
- Chuyển tiền phải trả,3678,Trieu dong
- Thuế thu nhập doanh nghiệp phải nộp,98761,Trieu dong
- Thuế và các khoản phải nộp cho Nhà Nước,17700,Trieu dong
- Tiền giữ hộ và đợi thanh toán,8806,Trieu dong
- Phải trả Banknet và các khoản chờ thanh toán khác,1024863,Trieu dong
- Các khoản phải trả bên ngoài khác,294064,Trieu dong
